Pos,Game,Console,Publisher,VGChartz Score,Critic Score,User Score,Total Shipped,Release Date,Last Update,Genre
12001,Gyakuten Saiban 2,GBA,Capcom,N/A,N/A,N/A,N/A,18th Oct 02,N/A,Action
12002,Godzilla: Save the Earth,XB,Atari,N/A,N/A,N/A,N/A,16th Nov 04,N/A,Fighting
12003,LEGO The Lord of the Rings,DS,Warner Bros. Interactive Entertainment,N/A,N/A,N/A,N/A,30th Oct 12,N/A,Misc
12004,Moshi Monsters: Katsuma Unleashed,DS,Activision,N/A,N/A,N/A,N/A,05th Nov 13,09th Nov 18,Platform
12005,Micro Machines,PS2,Infogrames,N/A,N/A,N/A,N/A,19th Mar 03,N/A,Racing
12006,Joe Danger 2: The Movie,PC,Hello Games,N/A,N/A,N/A,0.14m,24th Jun 13,22nd Apr 19,Racing
12007,Detective Barbie: The Mystery Cruise,PS,Mattel Interactive,N/A,N/A,N/A,N/A,01st Jan 00,N/A,Adventure
12008,Jim Henson's the Muppets: On With the Show!,GBA,TDK Mediactive,N/A,6.3,N/A,N/A,18th Mar 03,N/A,Action
12009,Desire,SAT,Imadio,N/A,N/A,N/A,N/A,11th Sep 97,N/A,Adventure
12010,Sig.NULL,PC,Dagestan Technology,N/A,N/A,N/A,0.14m,27th Sep 16,22nd Apr 19,Puzzle
12011,College Hoops 2K8,PS3,2K Sports,N/A,N/A,N/A,N/A,19th Nov 07,N/A,Sports
12012,MySims Collection,Wii,Electronic Arts,N/A,N/A,N/A,N/A,09th Nov 10,N/A,Misc
12013,Mega Man X Legacy Collection 1+2,PS4,Capcom Entertainment,N/A,N/A,N/A,N/A,24th Jul 18,18th Aug 18,Platform
12014,NUKED KNIGHT,PC,Siberian Digital,N/A,N/A,N/A,0.14m,19th Oct 16,22nd Apr 19,Puzzle
12015,Resident Evil: Revelations 2,XOne,Capcom,N/A,N/A,N/A,N/A,20th Mar 15,15th Apr 18,Action
12016,Frank Thomas Big Hurt Baseball,PS,Acclaim Entertainment,N/A,N/A,N/A,N/A,05th Jun 96,N/A,Sports
12017,Tim Burton's The Nightmare Before Christmas: The Pumpkin King,GBA,Buena Vista,N/A,N/A,N/A,N/A,10th Oct 05,N/A,Platform
12018,Power Pro Kun Pocket 8,DS,Konami,N/A,N/A,N/A,N/A,01st Dec 05,N/A,Sports
12019,Space Pilgrim Episode IV: Sol,PC,GrabTheGames,N/A,N/A,N/A,0.14m,04th Mar 16,22nd Apr 19,Adventure
12020,Enclave,XB,Conspiracy Entertainment,N/A,N/A,N/A,N/A,29th Jul 02,N/A,Adventure
12021,Sid Meier's Pirates!,XB,2K Games,N/A,N/A,N/A,N/A,11th Jul 05,N/A,Strategy
12022,The Crew: Wild Run,PS4,Ubisoft,N/A,N/A,N/A,N/A,17th Nov 15,04th Jan 18,Racing
12023,Dishonored: Death of the Outsider,XOne,Bethesda Softworks,N/A,N/A,N/A,N/A,15th Sep 17,03rd Mar 18,Action
12024,Bottom of the 9th,PS,Konami,N/A,8.0,N/A,N/A,04th Apr 96,N/A,Sports
12025,Dino Crisis 3,XB,Capcom,N/A,N/A,N/A,N/A,16th Sep 03,N/A,Action
12026,The Orange Box,PC,Electronic Arts,N/A,9.7,N/A,N/A,10th Oct 07,N/A,Shooter
12027,The King of Fighters '94 (CD),NG,SNK,N/A,N/A,N/A,N/A,01st Jan 94,N/A,Fighting
12028,NFL Blitz 20-03,GC,Midway Games,N/A,7.8,N/A,N/A,12th Aug 02,N/A,Sports
12029,Star Wars: Knights of the Old Republic,PC,LucasArts,N/A,N/A,N/A,N/A,18th Nov 03,N/A,Role-Playing
12030,The Silent Age,PC,Meridian4,N/A,N/A,N/A,0.14m,29th May 15,22nd Apr 19,Adventure
12031,Eragon,X360,Sierra Entertainment,N/A,4.2,N/A,N/A,14th Nov 06,N/A,Action
12032,Fahrenheit: Indigo Prophecy Remastered,PC,Aspyr,N/A,N/A,N/A,0.14m,29th Jan 15,22nd Apr 19,Adventure
12033,Barbie Explorer,PS,Unknown,N/A,N/A,N/A,N/A,04th Sep 01,N/A,Platform
12034,Disney's Chicken Little,XB,Buena Vista,N/A,7.0,N/A,N/A,18th Oct 05,N/A,Platform
