Pos,Game,Console,Publisher,VGChartz Score,Critic Score,User Score,Total Shipped,Release Date,Last Update,Genre
12035,Secret Agent Clank,PSP,Sony Computer Entertainment,N/A,7.0,N/A,N/A,17th Jun 08,N/A,Platform
12036,Serious Sam: Double D XXL,PC,Devolver Digital,N/A,N/A,N/A,0.14m,30th Aug 11,27th Dec 18,Shooter
12037,Squeezone,PC,Dagestan Technology,N/A,N/A,N/A,0.14m,16th Sep 16,22nd Apr 19,Strategy
12038,Agile Warrior F-111X,PS,Virgin Interactive,N/A,N/A,N/A,N/A,21st Nov 95,N/A,Simulation
12039,Scene It? Bright Lights! Big Screen!,Wii,Warner Bros. Interactive,N/A,N/A,N/A,N/A,17th Nov 09,N/A,Misc
12040,Dynasty Warriors 7: Empires,PS3,Tecmo Koei,N/A,N/A,N/A,N/A,08th Nov 12,31st Dec 17,Action
12041,Jikkyou Powerful Pro Yakyuu Wii,Wii,Konami,N/A,N/A,N/A,N/A,19th Jul 07,N/A,Sports
12042,BIT.TRIP SAGA,3DS,Aksys Games,N/A,7.5,N/A,N/A,13th Sep 11,14th Jan 19,Platform
12043,How to Train Your Dragon,X360,Activision,N/A,4.6,N/A,N/A,23rd Mar 10,N/A,Action
12044,Spider-Man: Edge of Time,DS,Activision,N/A,N/A,N/A,N/A,04th Oct 11,N/A,Action
12045,DarkEnd,PC,Kiss,N/A,N/A,N/A,0.14m,17th Oct 14,22nd Apr 19,Role-Playing
12046,Ultimate Marvel vs. Capcom 3,XOne,Capcom,N/A,N/A,N/A,N/A,07th Mar 17,N/A,Fighting
12047,Super Puzzle Fighter II Turbo,PS,Capcom,N/A,N/A,N/A,N/A,30th Nov 96,N/A,Puzzle
12048,Star Wars: Jedi Power Battles,GBA,THQ,N/A,N/A,N/A,N/A,21st Nov 02,N/A,Action
12049,Ultimate Muscle - The Kinnikuman Legacy: Legends vs New Generation,GC,Bandai,N/A,8.0,N/A,N/A,05th Jun 03,N/A,Fighting
12050,MXGP 2,PS4,Milestone S.r.l,N/A,N/A,N/A,N/A,21st Jun 16,19th Jun 18,Racing
12051,Edna & Harvey: The Breakout,PC,Daedalic Entertainment,N/A,N/A,N/A,0.14m,25th Oct 13,N/A,Adventure
12052,My Hero One's Justice,XOne,Bandai Namco Entertainment,N/A,N/A,N/A,N/A,26th Oct 18,12th Sep 18,Fighting
12053,Space Venus starring Morning Musume,PS2,Sony Music Entertainment,N/A,N/A,N/A,N/A,11th Jan 01,N/A,Misc
12054,Dragon Age: Origins - Ultimate Edition,PC,Electronic Arts,N/A,N/A,N/A,N/A,12th Oct 10,N/A,Role-Playing
12055,To Heart,PS,Aquaplus,N/A,N/A,N/A,N/A,25th Mar 99,N/A,Adventure
12056,Monster Lab,DS,Eidos Interactive,N/A,N/A,N/A,N/A,04th Nov 08,N/A,Role-Playing
12057,Doukyuusei,PCE,NEC,N/A,N/A,N/A,N/A,23rd Nov 95,N/A,Adventure
12058,RockMan & Forte,SNES,Capcom,N/A,N/A,N/A,N/A,24th Apr 98,N/A,Platform
12059,The Walking Dead: Season Two,PSV,Telltale Games,N/A,N/A,N/A,N/A,01st Jan 14,N/A,Misc
12060,History Channel: Civil War - A Nation Divided,X360,Activision,N/A,N/A,N/A,N/A,14th Nov 06,N/A,Shooter
12061,Master Jin Jin's IQ Challenge,DS,Valcon Games,N/A,N/A,N/A,N/A,08th Oct 07,N/A,Misc
12062,Persona 4 Arena Ultimax,PS3,Atlus,N/A,N/A,N/A,N/A,30th Sep 14,11th Jan 18,Fighting
12063,Gundam Breaker 3,PSV,Namco Bandai Games,N/A,N/A,N/A,N/A,03rd Mar 16,03rd Jul 18,Action
12064,Rayman Arena,GC,Ubisoft,N/A,6.2,N/A,N/A,24th Sep 02,N/A,Racing
12065,FIFA 06 Soccer,GC,EA Sports,N/A,N/A,N/A,N/A,04th Oct 05,N/A,Sports
12066,4X4 EVO 2,GC,VU Games,N/A,5.1,N/A,N/A,09th Sep 02,N/A,Racing
12067,Pro Yakyuu Netsu Star 2006,PS2,Namco,N/A,N/A,N/A,N/A,06th Apr 06,N/A,Sports
12068,Blazing Angels 2: Secret Missions of WWII,X360,Ubisoft,N/A,7.6,N/A,N/A,18th Sep 07,N/A,Simulation
12069,Rodea the Sky Soldier,WiiU,NIS America,N/A,7.0,N/A,N/A,10th Nov 15,06th Apr 18,Action-Adventure
12070,Rio,PS3,THQ,N/A,N/A,N/A,N/A,12th Apr 11,N/A,Misc
12071,NBA 2K13,WiiU,2K Sports,N/A,7.6,N/A,N/A,18th Nov 12,04th Jan 18,Sports
12072,Cyber Sled,PS,Namco,N/A,N/A,N/A,N/A,18th Oct 95,N/A,Action
12073,Puyo Puyo!! 20th Anniversary,DS,Sega,N/A,N/A,N/A,N/A,14th Jul 11,N/A,Puzzle
12074,Shining Soul,GBA,Atlus,N/A,N/A,N/A,N/A,23rd Sep 03,N/A,Role-Playing
12075,Sine Mora,PC,HandyGames,N/A,N/A,N/A,0.14m,09th Nov 12,22nd Apr 19,Shooter
12076,Ys VIII: Lacrimosa of Dana,PSV,NIS America,N/A,N/A,N/A,N/A,12th Sep 17,10th Jan 18,Role-Playing
12077,Tower of Guns,PC,Terrible Posture Games LLC,N/A,N/A,N/A,0.14m,04th Mar 14,22nd Apr 19,Shooter
12078,Angry Video Game Nerd Adventures,PC,Screenwave Media,N/A,N/A,N/A,0.14m,20th Sep 13,29th Mar 19,Action
12079,Ape Escape Academy (jp sales),PSP,Sony Computer Entertainment,N/A,N/A,N/A,N/A,17th Jan 06,18th Sep 18,Party
12080,Paws & Claws: Pet Vet 2,DS,THQ,N/A,N/A,N/A,N/A,07th Aug 07,N/A,Simulation
12081,Overstrike,X360,Electronic Arts,N/A,N/A,N/A,N/A,28th May 13,N/A,Shooter
12082,Fairy Fencer F,PC,Idea Factory International,N/A,N/A,N/A,0.14m,04th Aug 15,04th Nov 18,Role-Playing
12083,In the Hunt,PS,THQ,N/A,N/A,N/A,N/A,01st Mar 96,N/A,Shooter
12084,Create,X360,Electronic Arts,N/A,6.3,N/A,N/A,16th Nov 10,N/A,Misc
12085,Daytona USA Championship Circuit Edition,SAT,Sega,N/A,N/A,N/A,N/A,25th Nov 96,N/A,Racing
12086,Marvel vs. Capcom 2,XB,Capcom,N/A,N/A,N/A,N/A,27th Mar 03,N/A,Fighting
12087,Sega Genesis Collection,PS2,Sega,N/A,N/A,N/A,N/A,07th Nov 06,N/A,Misc
12088,NCIS,X360,Ubisoft,N/A,N/A,N/A,N/A,01st Nov 11,N/A,Adventure
12089,Hard Rock Casino,PSP,Crave Entertainment,N/A,3.8,N/A,N/A,24th Apr 07,N/A,Misc
12090,140,PC,Carlsen Games,N/A,N/A,N/A,0.14m,16th Oct 13,22nd Apr 19,Platform
12091,Imagine: Fashion Stylist,DS,Ubisoft,N/A,N/A,N/A,N/A,02nd Nov 10,N/A,Simulation
12092,Fear Factor: Unleashed,GBA,Hip Interactive,N/A,3.0,N/A,N/A,17th Nov 04,N/A,Action
12093,Cat Goes Fishing,PC,Unknown,N/A,N/A,N/A,0.14m,20th Jan 15,22nd Apr 19,Simulation
12094,Robots,DS,VU Games,N/A,4.5,N/A,N/A,24th Feb 05,N/A,Action
12095,Shantae and the Pirate's Curse,PC,WayForward,N/A,N/A,N/A,0.14m,23rd Apr 15,22nd Apr 19,Platform
12096,Deception IV: Blood Ties,PSV,Tecmo Koei,N/A,N/A,N/A,N/A,25th Mar 14,09th Nov 18,Action
12097,Alvin and the Chipmunks,DS,Brash Entertainment,N/A,N/A,N/A,N/A,04th Dec 07,N/A,Misc
12098,Heroes over Europe,X360,Ubisoft,N/A,N/A,N/A,N/A,15th Sep 09,N/A,Simulation
12099,Houshinengi,PS,KOEI,N/A,N/A,N/A,N/A,10th Sep 98,N/A,Strategy
12100,Absolute Drift,PC,Funselektor Labs Inc.,N/A,N/A,N/A,0.14m,29th Jul 15,22nd Apr 19,Racing
12101,Teslagrad,PC,Rain Games,N/A,N/A,N/A,0.14m,15th Sep 15,22nd Apr 19,Platform
12102,7th Dragon,DS,Sega,N/A,N/A,N/A,N/A,05th Mar 09,N/A,Role-Playing
12103,Pet Pals: Animal Doctor,Wii,Legacy Interactive,N/A,N/A,N/A,N/A,11th Nov 08,N/A,Simulation
12104,LEGO Island Xtreme Stunts,GBA,LEGO Media,N/A,N/A,N/A,N/A,15th Nov 02,N/A,Racing
12105,Garden Rescue,PC,Rainbow Games,N/A,N/A,N/A,0.14m,02nd Feb 15,08th Apr 19,Strategy
12106,Happy Feet,Wii,Midway Games,N/A,N/A,N/A,N/A,13th Nov 06,N/A,Adventure
12107,MotoGP 17,PS4,Koch Media,N/A,N/A,N/A,N/A,11th Jul 17,25th Jun 18,Racing
12108,Bust-A-Move Deluxe,PSP,Majesco,N/A,7.1,N/A,N/A,04th Apr 06,N/A,Puzzle
12109,Guilty Gear Xrd: Sign,PC,Arc System Works,N/A,N/A,N/A,0.14m,09th Dec 15,21st Apr 19,Fighting
12110,UEFA Euro 2004: Portugal,PS2,EA Sports,N/A,N/A,N/A,N/A,04th May 04,N/A,Sports
12111,World Soccer Winning Eleven 9 Bonus Pack,PS2,Konami,N/A,N/A,N/A,N/A,26th Jan 06,N/A,Sports
12112,Hot Wheels: World Race,GBA,THQ,N/A,N/A,N/A,N/A,14th Nov 03,N/A,Racing
12113,Major League Baseball 2K8,Wii,2K Sports,N/A,N/A,N/A,N/A,03rd Mar 08,N/A,Sports
12114,Touch My Katamari,PSV,Namco Bandai Games,N/A,N/A,N/A,N/A,21st Feb 12,09th Nov 18,Puzzle
12115,Vertiginous Golf,PC,Fellow Traveller,N/A,N/A,N/A,0.14m,07th Mar 14,29th Mar 19,Sports
12116,Tales of Phantasia: Full Voice Edition,PSP,Namco Bandai,N/A,N/A,N/A,0.14m,07th Sep 06,N/A,Role-Playing
12117,Tales of Phantasia: Narikiri Dungeon,GB,Namco,N/A,N/A,N/A,0.14m,10th Nov 00,N/A,Role-Playing
12118,NBA Jam,XB,Acclaim Entertainment,N/A,N/A,N/A,N/A,23rd Sep 03,N/A,Sports
12119,World Tour Soccer 2002,PS2,Sony Computer Entertainment,N/A,N/A,N/A,N/A,17th Feb 02,03rd Dec 18,Sports
12120,Hyperdimension Neptunia Re;Birth1,PSV,Idea Factory,N/A,N/A,N/A,N/A,26th Aug 14,03rd Dec 18,Role-Playing
12121,Scene It? Bright Lights! Big Screen!,X360,Warner Bros. Interactive,N/A,6.2,N/A,N/A,17th Nov 09,N/A,Misc
12122,Fairy Fencer F: Advent Dark Force,PS4,Idea Factory International,N/A,N/A,N/A,N/A,26th Jul 16,03rd Jul 18,Role-Playing
12123,Interactive Sampler Disc 6,PS,Sony Computer Entertainment,N/A,N/A,N/A,N/A,01st Jan 98,N/A,Misc
12124,Jikkyou Powerful Pro Baseball Heroes,3DS,Konami Digital Entertainment,N/A,N/A,N/A,N/A,15th Dec 16,03rd Jul 18,Action
12125,Apex,XB,Atari,N/A,N/A,N/A,N/A,17th Feb 03,N/A,Racing
12126,Kamen Rider Battle: Ganbaride Card Battle Taisen,DS,Namco Bandai,N/A,N/A,N/A,N/A,29th Jul 10,N/A,Strategy
12127,Tomb Raider: The Prophecy,GBA,Ubisoft,N/A,N/A,N/A,N/A,12th Nov 02,N/A,Adventure
12128,Vampire Night,PS2,Namco,N/A,6.4,N/A,N/A,14th Nov 01,N/A,Shooter
12129,Metal Slug 7,DS,Ignition Entertainment,N/A,6.9,N/A,N/A,18th Nov 08,N/A,Shooter
12130,Go Play: Circus Star,Wii,Majesco,N/A,N/A,N/A,N/A,09th Jun 09,N/A,Action
12131,Guilty Gear,PS,Atlus,N/A,N/A,N/A,N/A,31st Oct 98,N/A,Fighting
12132,Gyakuten Saiban 2,GBA,Capcom,N/A,N/A,N/A,N/A,18th Oct 02,N/A,Adventure
12133,Battlepaths,PC,Digerati Distribution,N/A,N/A,N/A,0.14m,28th Oct 12,29th Mar 19,Role-Playing
12134,The Elder Scrolls Online: Morrowind,XOne,Bethesda Softworks,N/A,N/A,N/A,N/A,06th Jun 17,15th Sep 18,MMO
12135,World Championship Poker 2: Featuring Howard Lederer,PSP,Crave Entertainment,N/A,7.0,N/A,N/A,11th Dec 05,N/A,Misc
12136,Fashion Studio: Paris Collection,DS,Ubisoft,N/A,N/A,N/A,N/A,31st Mar 09,N/A,Misc
12137,"Warhammer 40,000: Inquisitor - Martyr",PC,NeocoreGames,N/A,N/A,N/A,0.14m,05th Jun 18,22nd Apr 19,Action
12138,Final Fantasy IV,PC,Square Enix,N/A,N/A,N/A,0.14m,17th Sep 14,22nd Apr 19,Role-Playing
12139,Age of Empires: Collector's Edition,PC,Microsoft,N/A,N/A,N/A,N/A,02nd Nov 00,N/A,Strategy
12140,Mary-Kate and Ashley: Crush Course,PS,Acclaim Entertainment,N/A,N/A,N/A,N/A,31st Aug 01,N/A,Action
12141,NHL Breakaway 98,PS,Acclaim Entertainment,N/A,N/A,N/A,N/A,30th Sep 97,N/A,Sports
12142,Risen,PC,Deep Silver,N/A,7.8,N/A,N/A,02nd Oct 09,N/A,Role-Playing
12143,Disney's Cinderella: Magical Dreams,GBA,Buena Vista,N/A,6.0,N/A,N/A,20th Sep 05,N/A,Platform
12144,Gourmet Chef: Cook Your Way to Fame,DS,Ubisoft,N/A,N/A,N/A,N/A,24th Jun 08,N/A,Misc
12145,MotoGP '06,X360,THQ,N/A,8.3,N/A,N/A,12th Jun 06,N/A,Racing
12146,Tiger Woods PGA Tour 2005,GC,EA Sports,N/A,N/A,N/A,N/A,20th Sep 04,N/A,Sports
12147,Metal Gear Solid V: Ground Zeroes,X360,Konami Digital Entertainment,N/A,8.3,N/A,N/A,18th Mar 14,22nd Mar 18,Action-Adventure
12148,G.I. Joe: The Rise of Cobra    Read the review,DS,Electronic Arts,6.1,5.6,N/A,N/A,04th Aug 09,N/A,Action
12149,Tropico 5    Read the review,PC,Kalypso Media,6.8,N/A,N/A,N/A,01st Jan 15,20th Aug 18,Simulation
12150,Naruto Shippuden: Kizuna Drive,PSP,Namco Bandai,N/A,7.0,N/A,N/A,22nd Mar 11,N/A,Action
12151,Salt Lake 2002,PS2,Eidos Interactive,N/A,N/A,N/A,N/A,29th Jan 02,N/A,Sports
12152,ESPN MLB Baseball,XB,Sega,N/A,N/A,N/A,N/A,06th Apr 04,N/A,Sports
12153,X-Blades,PS3,SouthPeak Interactive,N/A,5.9,N/A,N/A,10th Feb 09,N/A,Action
12154,Gladius,XB,LucasArts,N/A,N/A,N/A,N/A,28th Oct 03,N/A,Strategy
12155,Legends of Wrestling,XB,Acclaim Entertainment,N/A,N/A,N/A,N/A,27th May 02,N/A,Fighting
12156,Magnetica,DS,Nintendo,N/A,N/A,N/A,N/A,05th Jun 06,N/A,Puzzle
12157,Lips: I Love The 80s,X360,Microsoft Game Studios,N/A,N/A,N/A,N/A,02nd Apr 10,02nd Nov 18,Music
12158,NBA 2K Playgrounds 2,NS,2K Games,N/A,N/A,N/A,N/A,09th Nov 18,11th Sep 18,Sports
12159,Queen's Gate: Spiral Chaos,PSP,Namco Bandai,N/A,N/A,N/A,N/A,28th Jul 11,N/A,Role-Playing
12160,Nayuta no Kiseki,PSP,Nihon Falcom Corp,N/A,N/A,N/A,N/A,26th Jul 12,09th Nov 18,Action
12161,Top Spin 3,DS,2K Sports,N/A,N/A,N/A,N/A,23rd Jun 08,N/A,Sports
12162,Spy Hunter 2,XB,Midway Games,N/A,N/A,N/A,N/A,24th Nov 03,N/A,Racing
12163,Rogue Warrior,PS3,Bethesda Softworks,N/A,2.5,N/A,N/A,01st Dec 09,N/A,Shooter
12164,Open Season,DS,Ubisoft,N/A,7.4,N/A,N/A,19th Sep 06,N/A,Platform
12165,Resident Evil: Revelations 2,PSV,Sony Computer Entertainment,N/A,N/A,N/A,N/A,15th Aug 15,15th Apr 18,Action
12166,Avatar: The Last Airbender - The Burning Earth,X360,THQ,N/A,N/A,N/A,N/A,19th Nov 07,N/A,Action
12167,Let's Play Ballerina,DS,Deep Silver,N/A,N/A,N/A,N/A,08th Jun 10,N/A,Sports
12168,Front Mission Evolved,PC,Square Enix,N/A,N/A,N/A,0.13m,28th Sep 10,N/A,Shooter
12169,Backyard Soccer,PS,Infogrames,N/A,N/A,N/A,N/A,28th Sep 01,N/A,Sports
12170,Monster Jam,DS,Activision,N/A,N/A,N/A,N/A,13th Nov 07,N/A,Racing
12171,Cruise Ship Vacation Games,Wii,GameMill,N/A,N/A,N/A,N/A,08th Sep 09,N/A,Puzzle
12172,Kung Fu Panda 2,Wii,THQ,N/A,3.0,N/A,N/A,24th May 11,N/A,Action
12173,Back At The Barnyard: Slop Bucket Games,DS,THQ,N/A,N/A,N/A,N/A,20th Oct 08,N/A,Sports
12174,Final Fantasy XI: Rise of the Zilart,PS2,Square Enix,N/A,N/A,N/A,N/A,17th Apr 03,N/A,Role-Playing
12175,Vampire Moon: The Mystery of the Hidden Sun,DS,City Interactive,N/A,N/A,N/A,N/A,05th Oct 10,N/A,Adventure
12176,James Bond 007: Nightfire,GBA,Electronic Arts,N/A,7.2,N/A,N/A,17th Mar 03,N/A,Shooter
12177,Little League World Series Baseball 2009,DS,Activision,N/A,N/A,N/A,N/A,23rd Jun 09,N/A,Sports
12178,Nobunaga no Yabou: Tendou,PS3,KOEI,N/A,N/A,N/A,N/A,04th Mar 10,N/A,Strategy
12179,Need for Speed Underground 2,DS,Electronic Arts,N/A,N/A,N/A,N/A,10th May 05,N/A,Racing
12180,Nitrobike,Wii,Ubisoft,N/A,N/A,N/A,N/A,15th Jan 08,N/A,Racing
12181,Medalot 7,3DS,Rocket Company,N/A,N/A,N/A,N/A,13th Sep 12,09th Nov 18,Role-Playing
12182,Bio FREAKS,PS,Midway Games,N/A,N/A,N/A,N/A,30th Apr 98,N/A,Action
12183,Castlevania Chronicles,PS,Konami,N/A,7.2,N/A,N/A,08th Oct 01,N/A,Platform
12184,Pinball Hall of Fame: The Gottlieb Collection,Wii,Crave Entertainment,N/A,N/A,N/A,N/A,19th Jan 10,N/A,Misc
12185,Suzumiya Haruhi no Tomadoi,PS2,Banpresto,N/A,N/A,N/A,N/A,31st Jan 08,N/A,Adventure
12186,Dragon Quest Builders: Revive Alefgard,PS3,Square Enix,N/A,N/A,N/A,N/A,28th Jan 16,11th Jan 18,Role-Playing
12187,Divinity: Original Sin II,PS4,Bandai Namco Entertainment,N/A,N/A,N/A,N/A,31st Aug 18,04th Jun 18,Role-Playing
12188,International Cricket 2010,X360,Codemasters,N/A,N/A,N/A,N/A,18th Jun 10,N/A,Sports
12189,Bratz,GBA,Ubisoft,N/A,N/A,N/A,N/A,12th Mar 03,N/A,Platform
12190,Mega Man Legacy Collection,PC,Capcom,N/A,N/A,N/A,0.13m,25th Aug 15,29th May 18,Platform
12191,Quick Yoga Training,DS,Ubisoft,N/A,N/A,N/A,N/A,06th Aug 08,N/A,Misc
12192,My Spanish Coach,PSP,Ubisoft,N/A,7.0,N/A,N/A,07th Oct 08,N/A,Misc
12193,King Arthur,PS2,Konami,N/A,6.7,N/A,N/A,17th Nov 04,N/A,Adventure
12194,Hisshou Pachinko*Pachi-Slot Kouryaku Series Vol. 1: CR Shinseiki Evangelion,PS2,D3 Publisher,N/A,N/A,N/A,N/A,20th Oct 05,N/A,Misc
12195,The Guy Game,PS2,Gathering of Developers,N/A,N/A,N/A,N/A,31st Aug 04,N/A,Misc
12196,Rurouni Kenshin: Enjou! Kyoto Rinne,PS2,Banpresto,N/A,N/A,N/A,N/A,14th Sep 06,N/A,Action
12197,Blade II,XB,Activision,N/A,N/A,N/A,N/A,02nd Sep 02,N/A,Action
12198,Samurai Warriors 4-II,PS4,Tecmo Koei,N/A,N/A,N/A,N/A,29th Sep 15,02nd May 18,Action
12199,Gens? Suikoden: The Woven Web of a Century,PSP,Konami Digital Entertainment,N/A,N/A,N/A,N/A,09th Feb 12,09th Nov 18,Role-Playing
12200,Baseball Advance,GBA,THQ,N/A,8.3,N/A,N/A,20th Mar 02,N/A,Sports
12201,Shonen Jump's One Piece: Grand Battle,PS2,Bandai,N/A,N/A,N/A,N/A,07th Sep 05,N/A,Fighting
12202,Learn Math,DS,DreamCatcher Interactive,N/A,N/A,N/A,N/A,22nd Dec 09,N/A,Puzzle
12203,Haunted House,Wii,Atari,N/A,N/A,N/A,N/A,28th Sep 10,N/A,Adventure
12204,Pro Yakyuu Spirits 6,PS2,Konami,N/A,N/A,N/A,N/A,16th Jul 09,N/A,Sports
12205,Retro Atari Classics,DS,Atari,N/A,N/A,N/A,N/A,16th Mar 05,N/A,Misc
12206,Red Orchestra 2: Heroes of Stalingrad,PC,Tripwire Interactive,N/A,7.7,N/A,N/A,13th Sep 11,N/A,Shooter
12207,Paperboy / Rampage,GBA,DSI Games,N/A,N/A,N/A,N/A,21st Aug 05,N/A,Misc
12208,Ridge Racer Unbounded,PC,Namco Bandai Games,N/A,N/A,N/A,0.13m,27th Mar 12,N/A,Racing
12209,Hulk Hogan's Main Event,X360,Majesco,N/A,N/A,N/A,N/A,11th Oct 11,N/A,Fighting
12210,Fushigi no Dungeon: Fuurai no Shiren 4 - Kami no Hitomi to Akuma no Heso,DS,Spike,N/A,N/A,N/A,N/A,25th Feb 10,N/A,Role-Playing
12211,Sentou Kokka Air Land Battle,PS,Sony Computer Entertainment,N/A,N/A,N/A,N/A,01st Dec 95,N/A,Strategy
12212,NTRA Breeders' Cup World Thoroughbred Championships,PS2,Bethesda Softworks,N/A,N/A,N/A,N/A,29th Sep 05,N/A,Sports
12213,Destroy All Humans! Big Willy Unleashed    Read the review,Wii,THQ,4.3,5.3,N/A,N/A,25th Feb 08,N/A,Action
12214,Lord of the Rings: Tactics,PSP,Electronic Arts,N/A,6.9,N/A,N/A,08th Nov 05,N/A,Strategy
12215,Divinity II: The Dragon Knight Saga,X360,Atlus,N/A,7.5,N/A,N/A,12th Apr 11,N/A,Role-Playing
12216,Tak 2: The Staff of Dreams,XB,THQ,N/A,N/A,N/A,N/A,11th Oct 04,N/A,Platform
12217,Kororinpa: Marble Mania,Wii,Konami,N/A,N/A,N/A,N/A,20th Mar 07,N/A,Puzzle
12218,The Golf Club,PS4,Maximum Games,N/A,N/A,N/A,N/A,28th Apr 15,10th Nov 18,Sports
12219,Puzzle Kingdoms,DS,Zoo Digital Publishing,N/A,N/A,N/A,N/A,04th May 09,N/A,Puzzle
12220,Syberia,DS,The Adventure Company,N/A,N/A,N/A,N/A,25th Nov 08,N/A,Adventure
12221,The Mercury Man,PC,Mehsoft,N/A,N/A,N/A,0.13m,20th May 18,22nd Apr 19,Action
12222,Tales of Berseria,PS3,Namco Bandai Games,N/A,N/A,N/A,N/A,18th Aug 16,N/A,Role-Playing
12223,SpellForce 3,PC,THQ Nordic,N/A,N/A,N/A,0.13m,07th Dec 17,22nd Apr 19,Strategy
12224,Teenage Mutant Ninja Turtles: Danger of the Ooze,3DS,Activision,N/A,N/A,N/A,N/A,28th Oct 14,14th Apr 18,Platform
12225,Fallout 4 VR,PC,Bethesda Softworks,N/A,N/A,N/A,0.13m,11th Dec 17,07th Feb 18,Role-Playing
12226,Ys: The Ark of Napishtim,PS2,Konami,N/A,7.4,N/A,N/A,22nd Feb 05,N/A,Role-Playing
12227,NHL 2K8,X360,2K Sports,N/A,N/A,N/A,N/A,10th Sep 07,N/A,Sports
12228,Supremacy MMA,PS3,505 Games,N/A,5.0,N/A,N/A,20th Sep 11,N/A,Fighting
12229,The Oregon Trail,3DS,Crave Entertainment,N/A,N/A,N/A,N/A,09th Dec 11,N/A,Adventure
