Pos,Game,Console,Publisher,VGChartz Score,Critic Score,User Score,Total Shipped,Release Date,Last Update,Genre
1052,Far Cry 3,PS3,Ubisoft,N/A,N/A,N/A,N/A,04th Dec 12,N/A,Shooter
1053,God of War: Chains of Olympus    Read the review,PSP,Sony Computer Entertainment,7.9,8.9,9.5,3.26m,04th Mar 08,N/A,Action
1054,FIFA 16,XOne,EA Sports,N/A,8.5,N/A,N/A,22nd Sep 15,01st Apr 18,Sports
1055,Flash Focus: Vision Training in Minutes a Day,DS,Nintendo,N/A,6.1,N/A,3.23m,15th Oct 07,N/A,Misc
1056,Ratchet & Clank: Up Your Arsenal,PS2,Sony Computer Entertainment,N/A,9.1,N/A,3.22m,03rd Nov 04,N/A,Platform
1057,007: Tomorrow Never Dies,PS,Electronic Arts,N/A,6.2,N/A,N/A,16th Nov 99,N/A,Shooter
1058,L.A. Noire,PS3,Rockstar Games,N/A,9.1,N/A,N/A,15th Nov 11,N/A,Adventure
1059,Perfect Dark,N64,Rare,N/A,9.7,N/A,3.20m,22nd May 00,N/A,Shooter
1060,Dragon Quest IV,NES,Enix,N/A,N/A,N/A,3.20m,01st Oct 92,27th Mar 18,Role-Playing
1061,Dragon Quest VI: Maboroshi no Daichi,SNES,Enix,N/A,N/A,N/A,3.20m,09th Dec 95,N/A,Role-Playing
1062,Baseball,NES,Nintendo,N/A,N/A,N/A,3.20m,01st Oct 85,N/A,Sports
1063,Killer Instinct,SNES,Nintendo,N/A,N/A,N/A,3.20m,01st Aug 95,N/A,Fighting
1064,WWF SmackDown! 2: Know Your Role,PS,THQ,N/A,8.7,N/A,N/A,21st Nov 00,N/A,Fighting
1065,Detroit: Become Human    Read the review,PS4,Sony Interactive Entertainment,8.0,8.0,N/A,3.20m,25th May 18,05th Jun 18,Adventure
1066,Final Fight,Series,Capcom,N/A,N/A,N/A,3.20m,01st Dec 89,03rd Feb 20,Action
1067,Breath of Fire,Series,Capcom,N/A,N/A,N/A,3.20m,10th Aug 94,03rd Feb 20,Role-Playing
1068,Dragon Age: Origins,All,Electronic Arts,N/A,N/A,N/A,3.20m,03rd Nov 09,31st Dec 20,Role-Playing
1069,Star Wars: Knights of the Old Republic,All,LucasArts,N/A,N/A,N/A,3.20m,15th Jul 03,04th Jan 21,Role-Playing
1070,Alan Wake,All,Microsoft Game Studios,N/A,N/A,N/A,3.20m,18th May 10,09th Jan 21,Action-Adventure
1071,Assassin's Creed IV: Black Flag,PS4,Ubisoft,N/A,8.3,N/A,N/A,15th Nov 13,14th Mar 18,Action-Adventure
1072,Front Mission,Series,Square,N/A,N/A,N/A,3.18m,29th Feb 00,29th Feb 20,Role-Playing
1073,Personal Trainer: Cooking,DS,Nintendo,N/A,8.4,N/A,3.18m,24th Nov 08,N/A,Misc
1074,1-2-Switch,NS,Nintendo,N/A,5.7,N/A,3.18m,03rd Mar 17,19th Nov 18,Party
1075,SimCity,All,Maxis,N/A,N/A,N/A,3.18m,02nd Feb 89,27th Nov 20,Simulation
1076,Enter the Matrix,PS2,Atari,N/A,N/A,N/A,N/A,14th May 03,N/A,Action
1077,Assassin's Creed Odyssey,PS4,Ubisoft,N/A,9.5,N/A,N/A,05th Oct 18,17th Nov 18,Action-Adventure
1078,Fallout: New Vegas,PS3,Bethesda Softworks,N/A,8.2,N/A,N/A,19th Oct 10,N/A,Role-Playing
1079,Sonic Heroes,PS2,Sega,N/A,6.6,N/A,3.16m,27th Jan 04,N/A,Platform
1080,Club Penguin: Elite Penguin Force,DS,Disney Interactive Studios,N/A,7.0,N/A,N/A,25th Nov 08,N/A,Adventure
1081,FIFA Soccer 08,PS2,EA Sports,N/A,N/A,N/A,N/A,09th Oct 07,N/A,Sports
1082,Clubhouse Games: 51 Worldwide Classics    Read the review,NS,Nintendo,8.0,N/A,N/A,3.14m,05th Jun 20,07th Apr 20,Party
1083,FIFA 18,XOne,EA Sports,N/A,8.0,N/A,N/A,29th Sep 17,02nd Apr 18,Sports
1084,Spider-Man,PS,Activision,N/A,N/A,N/A,N/A,30th Aug 00,N/A,Action
1085,Need for Speed III: Hot Pursuit,PS,Electronic Arts,N/A,N/A,N/A,N/A,25th Mar 98,N/A,Racing
1086,The Elder Scrolls IV: Oblivion    Read the review,PS3,Bethesda Softworks,8.8,9.3,N/A,N/A,20th Mar 07,N/A,Role-Playing
1087,Star Wars Episode I Racer,N64,LucasArts,N/A,8.7,N/A,3.12m,19th May 99,N/A,Racing
1088,Yoshi,GB,Nintendo,N/A,N/A,N/A,3.12m,01st Jul 92,N/A,Puzzle
1089,Tekken 6,PS3,Namco Bandai,N/A,7.9,N/A,3.12m,27th Oct 09,N/A,Fighting
1090,Paper Mario: The Origami King    Read the review,NS,Nintendo,8.0,N/A,9.0,3.12m,17th Jul 20,01st Aug 20,Action-Adventure
1091,Resident Evil 6,PS3,Capcom,N/A,N/A,N/A,N/A,02nd Oct 12,N/A,Action
1092,Tom Clancy's Ghost Recon Wildlands,PS4,Ubisoft,N/A,7.0,N/A,N/A,07th Mar 17,01st Apr 18,Shooter
1093,NBA 2K13,X360,2K Sports,N/A,8.6,N/A,N/A,02nd Oct 12,04th Jan 18,Sports
1094,Titanfall,XOne,Electronic Arts,N/A,N/A,N/A,N/A,11th Mar 14,12th Jan 18,Shooter
1095,Mario Party 9,Wii,Nintendo,N/A,6.5,N/A,3.11m,11th Mar 12,19th Nov 18,Party
1096,Bravely,Series,Nintendo,N/A,N/A,N/A,3.10m,07th Feb 14,29th Feb 20,Role-Playing
1097,Parasite Eve,Series,Square,N/A,N/A,N/A,3.10m,09th Sep 98,29th Feb 20,Role-Playing
1098,Dead Rising 2,All,Capcom,N/A,N/A,N/A,3.10m,28th Sep 10,12th Oct 20,Action-Adventure
1099,Quake,Series,GT Interactive,N/A,N/A,N/A,3.10m,22nd Jun 96,25th Feb 21,Shooter
1100,Mass Effect 2     Read the review,X360,Electronic Arts,9.5,9.5,8.9,N/A,26th Jan 10,N/A,Role-Playing
1101,Madden NFL 2002,PS2,EA Sports,N/A,N/A,N/A,N/A,19th Aug 01,N/A,Sports
1102,World Class Track Meet,NES,Bandai,N/A,N/A,N/A,3.08m,01st Sep 87,N/A,Sports
1103,LEGO Batman: The Videogame    Read the review,Wii,Warner Bros. Interactive,7.5,7.3,N/A,N/A,23rd Sep 08,N/A,Adventure
1104,Saints Row 2,X360,THQ,N/A,7.9,N/A,N/A,14th Oct 08,02nd Apr 18,Action
1105,Donkey Kong,GB,Nintendo,N/A,N/A,N/A,3.07m,01st Jun 94,N/A,Platform
1106,The Sims: Vacation,PC,Electronic Arts,N/A,N/A,N/A,N/A,25th Mar 02,N/A,Simulation
1107,New Super Luigi U,WiiU,Nintendo,N/A,7.8,N/A,3.07m,25th Aug 13,24th Jan 18,Action
1108,Call of Duty: Ghosts,XOne,Activision,N/A,7.5,N/A,N/A,22nd Nov 13,21st Mar 18,Shooter
1109,LEGO Batman: The Videogame,DS,Warner Bros. Interactive,N/A,7.8,N/A,N/A,23rd Sep 08,N/A,Adventure
1110,Borderlands 2,X360,2K Games,N/A,N/A,N/A,N/A,15th Jan 13,N/A,Shooter
1111,Mario Tennis Aces    Read the review,NS,Nintendo,7.0,7.8,N/A,3.06m,22nd Jun 18,14th Jun 18,Sports
1112,Kung Fu Panda,X360,Activision,N/A,7.5,N/A,N/A,03rd Jun 08,N/A,Platform
1113,Mass Effect 3,X360,Electronic Arts,N/A,N/A,N/A,N/A,06th Mar 12,N/A,Role-Playing
1114,Rhythm Heaven    Read the review,DS,Nintendo,8.9,8.5,N/A,3.04m,05th Apr 09,31st May 18,Music
1115,Metal Gear Solid V: The Phantom Pain,PS4,Konami Digital Entertainment,N/A,N/A,N/A,N/A,01st Sep 15,04th May 18,Action
1116,Rayman,PS,Ubisoft,N/A,7.0,N/A,N/A,01st Sep 95,N/A,Platform
1117,Tom Clancy's Splinter Cell,XB,Ubisoft,N/A,9.3,9.1,N/A,17th Nov 02,N/A,Action
1118,Mike Tyson's Punch-Out!!,NES,Nintendo,N/A,N/A,N/A,3.02m,01st Oct 87,N/A,Fighting
1119,Professor Layton and the Unwound Future,DS,Nintendo,N/A,8.4,N/A,3.02m,12th Sep 10,N/A,Adventure
1120,SoulCalibur IV,All,Namco Bandai Games,N/A,N/A,N/A,3.02m,29th Jul 08,20th Nov 20,Fighting
1121,Fable,XB,Microsoft Game Studios,N/A,8.6,N/A,3.00m,14th Sep 04,25th Sep 18,Role-Playing
1122,Sonic and the Secret Rings,Wii,Sega,N/A,6.7,N/A,3.00m,20th Feb 07,N/A,Platform
1123,Sonic Rush,DS,Sega,N/A,7.8,N/A,3.00m,15th Nov 05,N/A,Platform
1124,MotorStorm    Read the review,PS3,Sony Computer Entertainment,8.5,8.2,N/A,3.00m,06th Mar 07,N/A,Racing
1125,Warcraft II: Tides of Darkness,PC,Blizzard Entertainment,N/A,9.3,N/A,3.00m,30th Apr 96,N/A,Strategy
1126,Crysis,PC,Electronic Arts,N/A,9.2,8.5,3.00m,13th Nov 07,N/A,Shooter
1127,Sid Meier's Civilization IV,PC,2K Games,N/A,9.4,N/A,3.00m,25th Oct 05,N/A,Strategy
1128,Heavy Rain    Read the review,PS3,Sony Computer Entertainment,9.1,8.8,8.6,3.00m,23rd Feb 10,N/A,Adventure
1129,Left 4 Dead    Read the review,X360,Valve Corporation,8.9,8.7,9.0,3.00m,18th Oct 08,N/A,Shooter
1130,Halo 3: ODST    Read the review,X360,Microsoft Game Studios,8.4,8.7,N/A,3.00m,22nd Sep 09,11th Oct 18,Shooter
1131,Left 4 Dead 2    Read the review,X360,Electronic Arts,9.0,9.0,N/A,3.00m,17th Nov 09,N/A,Shooter
1132,Gears of War 3,X360,Microsoft Studios,N/A,9.1,N/A,3.00m,20th Sep 11,N/A,Shooter
1133,Kinect Sports,X360,Microsoft Game Studios,N/A,7.4,N/A,3.00m,04th Nov 10,N/A,Sports
1134,Torchlight II,PC,Runic Games,N/A,N/A,N/A,3.00m,20th Sep 12,N/A,Role-Playing
1135,Dishonored,PC,Bethesda Softworks,N/A,N/A,N/A,3.00m,16th Apr 13,01st Jan 18,Action
1136,God of War: Ascension,PS3,Sony Computer Entertainment,N/A,N/A,N/A,3.00m,12th Mar 13,04th Apr 18,Action
1137,Dead Rising 3    Read the review,XOne,Microsoft Studios,7.9,N/A,N/A,3.00m,22nd Nov 13,24th Mar 18,Action
1138,Space Engineers,PC,Keen Software House,N/A,N/A,N/A,3.00m,28th Feb 19,13th Sep 18,Simulation
1139,Fire Emblem Fates,3DS,Nintendo,N/A,N/A,N/A,3.00m,19th Feb 16,31st Dec 17,Role-Playing
1140,Your Shape,Series,Ubisoft,N/A,N/A,N/A,3.00m,24th Nov 09,10th Feb 20,Sports
1141,Rally Championship,Series,Electronic Arts,N/A,N/A,N/A,3.00m,31st Jan 00,28th Feb 20,Racing
1142,Gungeon,Series,Devolver Digital,N/A,N/A,N/A,3.00m,05th Apr 16,03rd Mar 20,Action-Adventure
1143,Warhammer: Vermintide,Series,Fatshark,N/A,N/A,N/A,3.00m,23rd Oct 15,04th Mar 20,Action
1144,Dead Rising,All,Capcom,N/A,N/A,N/A,3.00m,08th Aug 06,10th Oct 20,Action
1145,Nioh,All,Koei Tecmo,N/A,N/A,N/A,3.00m,09th Feb 17,17th Oct 20,Action
1146,WWE 2K15,All,2K Sports,N/A,N/A,N/A,3.00m,28th Oct 14,24th Oct 20,Sports
