Pos,Game,Console,Publisher,VGChartz Score,Critic Score,User Score,Total Shipped,Release Date,Last Update,Genre
8001,Syphon Filter: Dark Mirror,PSP,Sony Computer Entertainment,N/A,8.5,N/A,N/A,14th Mar 06,N/A,Shooter
8002,Bejeweled 3,PC,PopCap Games,N/A,8.1,N/A,0.30m,07th Dec 10,N/A,Puzzle
8003,AMF Bowling 2004,XB,Mud Duck Productions,N/A,N/A,N/A,N/A,01st Dec 03,N/A,Sports
8004,Harry Potter and the Order of the Phoenix,X360,Electronic Arts,N/A,N/A,N/A,N/A,25th Jun 07,N/A,Adventure
8005,Scooby-Doo! Night of 100 Frights,GC,THQ,N/A,N/A,N/A,N/A,16th Sep 02,N/A,Platform
8006,MySims SkyHeroes,Wii,Electronic Arts,N/A,6.4,N/A,N/A,28th Sep 10,N/A,Action
8007,The Walking Dead: Season Two,PS4,Telltale Games,N/A,N/A,N/A,N/A,21st Oct 14,N/A,Misc
8008,There's Poop In My Soup,PC,Unknown,N/A,N/A,N/A,0.29m,N/A,15th Feb 19,Action
8009,Imagine: Makeup Artist,DS,Ubisoft,N/A,N/A,N/A,N/A,31st Dec 20,N/A,Simulation
8010,Sword Art Online: Fatal Bullet    Read the review,PS4,Namco Bandai Games,6.0,N/A,N/A,N/A,23rd Feb 18,23rd Feb 18,Role-Playing
8011,Spider-Man: Friend or Foe,X360,Activision,N/A,5.9,N/A,N/A,02nd Oct 07,N/A,Action
8012,RealSports Boxing,2600,Atari,N/A,N/A,N/A,N/A,01st Jan 87,N/A,Sports
8013,Grandia II,PS2,Ubisoft,N/A,7.4,N/A,N/A,28th Jan 02,N/A,Role-Playing
8014,Lego Star Wars: The Force Awakens,WiiU,Warner Bros. Interactive Entertainment,N/A,N/A,N/A,N/A,28th Jun 16,31st Mar 18,Action-Adventure
8015,Blood Bowl 2,PC,Unknown,N/A,N/A,N/A,0.29m,N/A,15th Feb 19,Sports
8016,Front Mission Evolved,PS3,Square Enix,N/A,N/A,N/A,N/A,28th Sep 10,N/A,Shooter
8017,Fable: The Journey,X360,Microsoft Studios,N/A,N/A,N/A,N/A,09th Oct 12,12th Aug 18,Role-Playing
8018,Need for Speed Underground,GBA,Electronic Arts,N/A,N/A,N/A,N/A,18th Dec 03,N/A,Racing
8019,Power Pro Kun Pocket 4,GBA,Konami,N/A,N/A,N/A,N/A,02nd Mar 02,N/A,Sports
8020,Naruto to Boruto: Shinobi Striker,PS4,Bandai Namco Games,N/A,8.5,N/A,N/A,31st Aug 18,14th Jun 18,Action
8021,Rabbids: Alive & Kicking,X360,Ubisoft,N/A,N/A,N/A,N/A,08th Nov 11,N/A,Misc
8022,Guardian Heroes,SAT,Sega,N/A,N/A,N/A,N/A,25th Jan 96,N/A,Role-Playing
8023,WWII Aces,Wii,Destineer,N/A,N/A,N/A,N/A,21st Mar 08,N/A,Simulation
8024,Outlaw Golf,XB,Simon & Schuster Interactive,N/A,N/A,N/A,N/A,10th Jun 02,N/A,Sports
8025,Glory of Heracles    Read the review,DS,Nintendo,6.4,6.8,N/A,N/A,18th Jan 10,N/A,Role-Playing
8026,Mini Ninjas,X360,Eidos Interactive,N/A,N/A,N/A,N/A,08th Sep 09,N/A,Action
8027,Gears of War Triple Pack,X360,Microsoft Game Studios,N/A,N/A,N/A,N/A,15th Feb 11,N/A,Shooter
8028,ExerBeat,Wii,Namco Bandai,N/A,N/A,N/A,N/A,17th May 11,N/A,Sports
8029,Fisherman's Bait 2: Big Ol' Bass,PS,Konami,N/A,N/A,N/A,N/A,24th Nov 99,N/A,Sports
8030,Lupin the 3rd: Treasure of the Sorcerer King,PS2,Bandai,N/A,N/A,N/A,N/A,11th Feb 04,N/A,Adventure
8031,Yooka-Laylee,PS4,Team17 Software,N/A,N/A,N/A,N/A,01st Jan 18,31st May 18,Platform
8032,Call of Juarez: The Cartel,PS3,Ubisoft,N/A,5.4,N/A,N/A,19th Jul 11,N/A,Shooter
8033,NES Remix,WiiU,Nintendo,N/A,N/A,N/A,N/A,18th Dec 13,28th Aug 18,Misc
8034,Ben 10 Alien Force: Vilgax Attacks,PS2,D3 Publisher,N/A,N/A,N/A,N/A,27th Oct 09,N/A,Action
8035,Nicktoons: Battle for Volcano Island,DS,THQ,N/A,N/A,N/A,N/A,24th Oct 06,N/A,Action
8036,NBA Street V3,GC,EA Sports BIG,N/A,N/A,N/A,N/A,08th Feb 05,N/A,Sports
8037,WinBack: Covert Operations,PS2,KOEI,N/A,N/A,N/A,N/A,27th Mar 01,N/A,Shooter
8038,Assassin's Creed IV: Black Flag,WiiU,Ubisoft,N/A,8.5,N/A,N/A,29th Oct 13,14th Mar 18,Action-Adventure
8039,Shrek: Forever After,Wii,Activision,N/A,N/A,N/A,N/A,18th May 10,N/A,Platform
8040,X-Men Legends II: Rise of Apocalypse,PSP,Activision,N/A,8.5,N/A,N/A,18th Oct 05,N/A,Role-Playing
8041,Dynasty Warriors: Strikeforce,PS3,Tecmo Koei,N/A,6.8,N/A,N/A,16th Feb 10,N/A,Action
8042,Strider (2014),PC,Capcom,N/A,N/A,N/A,0.29m,19th Feb 14,03rd Jan 19,Platform
8043,Kagero: Deception II,PS,Tecmo,N/A,N/A,N/A,N/A,14th Oct 98,N/A,Strategy
8044,Up,X360,THQ,N/A,6.5,N/A,N/A,26th May 09,N/A,Adventure
8045,Jikkyou Powerful Pro Yakyuu 2000 Kaimakuban,PS,Konami,N/A,N/A,N/A,N/A,19th Jul 00,N/A,Sports
8046,Harvest Moon: Magical Melody,Wii,Natsume,N/A,6.3,N/A,N/A,25th Aug 09,N/A,Simulation
8047,Alvin and the Chipmunks: The Squeakquel,DS,Majesco,N/A,N/A,N/A,N/A,01st Dec 09,N/A,Misc
8048,NBA Live 06,X360,EA Sports,N/A,6.5,N/A,N/A,16th Nov 05,N/A,Sports
8049,Kenka Bancho: Badass Rumble,PSP,Atlus,N/A,7.0,N/A,N/A,10th Nov 09,N/A,Action
8050,FlatOut: Head On,PSP,Warner Bros. Interactive,N/A,7.3,N/A,N/A,04th Apr 08,N/A,Racing
8051,J-League Victory Goal '96,SAT,Sega,N/A,N/A,N/A,N/A,22nd Mar 96,N/A,Sports
8052,Talon Man Remastered,Amig,Out of crumpét's:,N/A,N/A,9.0,0.29m,01st Jan 18,12th Dec 18,Puzzle
8053,Zoo Tycoon 2 DS,DS,THQ,N/A,6.9,N/A,N/A,04th Feb 08,N/A,Strategy
8054,TouchMaster: Connect,DS,Warner Bros. Interactive,N/A,N/A,N/A,N/A,07th Dec 10,N/A,Puzzle
8055,Jeopardy! 2nd Edition,PS,Hasbro Interactive,N/A,N/A,N/A,N/A,28th Sep 00,N/A,Misc
8056,SD Gundam G Century,PS,Bandai,N/A,N/A,N/A,N/A,20th Mar 97,N/A,Strategy
8057,Wanted: Weapons of Fate    Read the review,PS3,Warner Bros. Interactive,6.5,6.2,N/A,N/A,24th Mar 09,N/A,Shooter
8058,Ratchet & Clank: Size Matters,PS2,Sony Computer Entertainment,N/A,N/A,N/A,N/A,11th Mar 08,N/A,Platform
8059,Just Dance 2017,NS,Ubisoft,N/A,6.5,N/A,N/A,03rd Mar 17,06th Apr 18,Music
8060,NieR,X360,Square Enix,N/A,6.4,N/A,N/A,27th Apr 10,N/A,Role-Playing
8061,Atelier Iris 3: Grand Phantasm (US Sales),PS2,NIS America,N/A,6.1,N/A,N/A,29th May 07,N/A,Role-Playing
8062,Ace Combat: Joint Assault,PSP,Namco Bandai,N/A,7.0,N/A,N/A,31st Aug 10,N/A,Simulation
8063,Itadaki Street 2: Neon Sign wa Bara Iro ni,SNES,Enix,N/A,N/A,N/A,N/A,26th Feb 94,N/A,Misc
8064,Imagine: Fashion Designer World Tour,DS,Ubisoft,N/A,N/A,N/A,N/A,20th Oct 09,N/A,Simulation
8065,From TV Animation One Piece: Treasure Battle!,GC,Bandai,N/A,N/A,N/A,N/A,01st Nov 02,N/A,Fighting
8066,NHL 19,XOne,EA Sports,N/A,N/A,N/A,N/A,14th Sep 18,23rd Jun 18,Sports
8067,Sonic Adventure DX: Director's Cut,PC,Activision,N/A,N/A,N/A,0.29m,01st Jan 04,N/A,Platform
8068,Dolphin,2600,Activision,N/A,N/A,N/A,N/A,27th Dec 83,N/A,Action
8069,Area 51,XB,Midway Games,N/A,N/A,N/A,N/A,25th Apr 05,N/A,Shooter
8070,Karaoke Revolution Glee: Volume 3,Wii,Konami,N/A,N/A,N/A,N/A,22nd Nov 11,N/A,Misc
8071,Just Dance Wii 2,Wii,Nintendo,N/A,N/A,N/A,N/A,26th Jul 12,30th Aug 18,Music
8072,The Godfather: Dons Edition,PS3,Electronic Arts,N/A,N/A,N/A,N/A,20th Mar 07,N/A,Action
8073,Prince of Persia: Rival Swords,Wii,Ubisoft,N/A,7.0,N/A,N/A,03rd Apr 07,N/A,Action
8074,Hamster Club 4: Shigessa Daidassou,GBA,Jorudan,N/A,N/A,N/A,N/A,18th Jul 03,N/A,Simulation
8075,The Chronicles of Riddick: Assault on Dark Athena,X360,Atari,N/A,8.2,N/A,N/A,07th Apr 09,N/A,Shooter
8076,John Deere: Harvest in the Heartland,DS,Destineer,N/A,N/A,N/A,N/A,20th Nov 07,N/A,Simulation
8077,Mega Man X8,PS2,Capcom,N/A,N/A,N/A,N/A,07th Dec 04,N/A,Platform
8078,Everspace,PC,Unknown,N/A,N/A,N/A,0.29m,N/A,15th Feb 19,Shooter
8079,Ford Mustang: The Legend Lives,PS2,2K Games,N/A,N/A,N/A,N/A,19th Apr 05,N/A,Racing
8080,Phoenix Wright: Ace Attorney: Spirit of Justice,3DS,Capcom,N/A,8.1,N/A,N/A,30th Sep 16,14th Jan 18,Adventure
8081,Fast Food,2600,Unknown,N/A,N/A,N/A,N/A,01st Jan 82,N/A,Action
8082,Trace Memory    Read the review,DS,Nintendo,6.7,6.5,N/A,N/A,26th Sep 05,N/A,Adventure
8083,Sesame Street: Cookie's Counting Carnival,Wii,Warner Bros. Interactive,N/A,N/A,N/A,N/A,20th Oct 10,N/A,Misc
8084,Jikkyou Powerful Pro Yakyuu 8,PS2,Konami,N/A,N/A,N/A,N/A,30th Aug 01,N/A,Sports
8085,Forsaken 64,N64,Acclaim Entertainment,N/A,8.3,N/A,N/A,30th Apr 98,N/A,Shooter
8086,Supercross 2000,N64,Electronic Arts,N/A,N/A,N/A,N/A,24th Nov 99,N/A,Racing
8087,Top Gear Overdrive,N64,Kemco,N/A,N/A,N/A,N/A,23rd Nov 98,N/A,Racing
8088,War Gods,N64,Midway Games,N/A,N/A,N/A,N/A,21st May 97,N/A,Fighting
8089,Xena: Warrior Princess - The Talisman of Fate,N64,Titus,N/A,N/A,N/A,N/A,30th Nov 99,N/A,Fighting
8090,Jeremy McGrath Supercross 2000,N64,Acclaim Entertainment,N/A,N/A,N/A,N/A,29th Feb 00,N/A,Racing
8091,Naruto Shippuden: Ultimate Ninja 4,PS2,Namco Bandai,N/A,N/A,N/A,0.29m,24th Mar 09,N/A,Fighting
8092,The New Tetris,N64,Nintendo,N/A,N/A,N/A,N/A,31st Jul 99,N/A,Puzzle
8093,Ken Griffey Jr.'s Slugfest,N64,Nintendo,N/A,N/A,N/A,N/A,10th May 99,N/A,Sports
8094,Hatsune Miku: Project Diva Extend,PSP,Sega,N/A,N/A,N/A,0.29m,10th Nov 11,11th Jan 19,Simulation
8095,Duel Masters: Sempai Legends,GBA,Atari,N/A,7.1,N/A,N/A,01st Jun 04,N/A,Misc
8096,Trauma Center: New Blood,Wii,Atlus,N/A,7.5,N/A,N/A,20th Nov 07,N/A,Simulation
8097,Marvel Super Hero Squad,PS2,THQ,N/A,N/A,N/A,N/A,20th Oct 09,N/A,Adventure
8098,BATTLETECH,PC,Unknown,N/A,N/A,N/A,0.29m,N/A,15th Feb 19,Action-Adventure
8099,Heroes of the Pacific,PS2,Ubisoft,N/A,N/A,N/A,N/A,28th Sep 05,N/A,Simulation
8100,The BIGS 2    Read the review,Wii,2K Sports,6.1,6.3,N/A,N/A,07th Jul 09,N/A,Sports
8101,The Lord of the Rings: The Third Age,GC,Electronic Arts,N/A,7.9,N/A,N/A,02nd Nov 04,N/A,Role-Playing
8102,Tricolour Lovestory,PC,Unknown,N/A,N/A,N/A,0.29m,N/A,15th Feb 19,Visual Novel
8103,Nicktoons: Battle for Volcano Island,GC,THQ,N/A,N/A,N/A,N/A,24th Oct 06,N/A,Action
8104,Sonic Boom: Shattered Crystal,3DS,Sega,N/A,3.8,N/A,N/A,11th Nov 14,18th Oct 18,Platform
8105,LEGO Harry Potter: Years 5-7,PSP,Warner Bros. Interactive,N/A,N/A,N/A,N/A,11th Nov 11,N/A,Action
8106,Mah Jong Quest: Expeditions,DS,Activision,N/A,N/A,N/A,N/A,16th Oct 07,N/A,Puzzle
8107,Madden NFL 08,XB,EA Sports,N/A,N/A,N/A,N/A,14th Aug 07,N/A,Sports
8108,Overcooked! 2    Read the review,NS,Sold Out,8.0,8.4,N/A,N/A,07th Aug 18,14th Jun 18,Simulation
8109,DX Game of Life,PS,Takara,N/A,N/A,N/A,N/A,22nd Mar 96,N/A,Misc
8110,Montaro,PC,Unknown,N/A,N/A,N/A,0.29m,N/A,15th Feb 19,Action
8111,Alien: Isolation,X360,Sega,N/A,N/A,N/A,N/A,07th Oct 14,06th Jan 18,Adventure
8112,Pirates of the Caribbean,XB,Bethesda Softworks,N/A,N/A,N/A,N/A,01st Jul 03,N/A,Role-Playing
8113,RPG Maker,PS,Agetec,N/A,N/A,N/A,N/A,19th Sep 00,N/A,Role-Playing
8114,Mass Effect Trilogy,PC,Electronic Arts,N/A,N/A,N/A,N/A,06th Nov 12,N/A,Misc
8115,The Punisher,XB,THQ,N/A,N/A,N/A,N/A,17th Jan 05,N/A,Shooter
8116,Turning Point: Fall of Liberty,X360,Codemasters,N/A,N/A,N/A,N/A,26th Feb 08,N/A,Shooter
8117,The Legend of Legacy,3DS,Atlus,N/A,6.0,N/A,N/A,13th Oct 15,29th May 18,Role-Playing
8118,MLB Pennant Race,PS,Sony Computer Entertainment,N/A,N/A,N/A,N/A,30th Sep 96,N/A,Sports
8119,Majin and the Forsaken Kingdom,PS3,Namco Bandai,N/A,7.0,N/A,N/A,23rd Nov 10,N/A,Adventure
8120,Monkey Island 2 Special Edition: LeChuck's Revenge,PC,LucasArts,N/A,N/A,N/A,0.29m,07th Jul 10,N/A,Adventure
8121,Disgaea 3: Absence of Detention,PSV,NIS America,N/A,N/A,N/A,N/A,17th Apr 12,N/A,Role-Playing
8122,Cars 3: Driven to Win,PS4,Warner Bros. Interactive Entertainment,N/A,N/A,N/A,N/A,13th Jun 17,14th Jan 18,Racing
8123,SD Gundam Gaiden: Knight Gundam Monogatari: Ooinaru Isan,SNES,Angel Studios,N/A,N/A,N/A,N/A,21st Dec 91,N/A,Role-Playing
8124,The Sims 2,PC,Electronic Arts,N/A,8.9,N/A,N/A,14th Sep 04,N/A,Simulation
8125,MLB Power Pros,Wii,2K Sports,N/A,8.5,N/A,N/A,03rd Oct 07,N/A,Sports
8126,Shrek Super Party,PS2,TDK Mediactive,N/A,N/A,N/A,N/A,16th Nov 02,N/A,Misc
8127,Aragami    Read the review,PC,Lince Works,N/A,N/A,N/A,0.29m,04th Oct 16,N/A,Action
8128,"Sakura Wars 4: Koi Seyo,Otome",DC,Sega,N/A,N/A,N/A,N/A,21st Mar 02,N/A,Adventure
8129,"Sakura Wars: So Long, My Love",PS2,NIS America,N/A,8.8,N/A,N/A,30th Mar 10,N/A,Role-Playing
8130,Dynasty Tactics,PS2,KOEI,N/A,N/A,N/A,N/A,17th Sep 02,N/A,Strategy
8131,One Piece Unlimited Cruise 2: Awakening of a Hero,Wii,Namco Bandai,N/A,N/A,N/A,N/A,25th Sep 09,N/A,Adventure
8132,Skylanders Imaginators,X360,Activision,N/A,N/A,N/A,N/A,16th Oct 16,30th Mar 18,Platform
8133,Downwell,PC,Unknown,N/A,N/A,N/A,0.29m,N/A,15th Feb 19,Platform
8134,Sengoku Basara: Samurai Heroes,Wii,Capcom,N/A,6.0,N/A,N/A,12th Oct 10,N/A,Action
8135,Snowboarding,PS,A1 Games,N/A,N/A,N/A,N/A,20th Dec 00,N/A,Sports
8136,Warriors Orochi 2,PSP,KOEI,N/A,5.3,N/A,N/A,25th Aug 09,N/A,Action
8137,Puzzle Quest: Challenge of the Warlords,Wii,D3 Publisher,N/A,N/A,N/A,N/A,30th Nov 07,N/A,Puzzle
