Pos,Game,Console,Publisher,VGChartz Score,Critic Score,User Score,Total Shipped,Release Date,Last Update,Genre
8138,Metal Gear Solid V: The Definitive Experience,PS4,Konami Digital Entertainment,N/A,N/A,N/A,N/A,11th Oct 16,29th May 18,Action
8139,Outrage,PC,Unknown,N/A,N/A,N/A,0.29m,N/A,15th Feb 19,Action-Adventure
8140,Dead to Rights II,All,Namco,N/A,N/A,N/A,0.29m,12th Apr 05,21st Nov 20,Action-Adventure
8141,Army of Two: The Devil's Cartel,PS3,Electronic Arts,N/A,N/A,N/A,N/A,26th Mar 13,19th Oct 18,Shooter
8142,Learn with Pokémon: Typing Adventure,DS,Nintendo,N/A,N/A,N/A,N/A,21st Apr 11,28th Aug 18,Misc
8143,Dragon Ball Heroes: Ultimate Mission,3DS,Namco Bandai Games,N/A,N/A,N/A,N/A,28th Feb 13,03rd Feb 18,Fighting
8144,007 Legends,X360,Activision,N/A,N/A,N/A,N/A,16th Oct 12,16th Oct 18,Shooter
8145,Rocketbirds: Hardboiled Chicken,PC,Unknown,N/A,N/A,N/A,0.29m,N/A,15th Feb 19,Platform
8146,Surf's Up,PS2,Ubisoft,N/A,N/A,N/A,N/A,30th May 07,N/A,Sports
8147,Dead Rising: Chop Till You Drop    Read the review,Wii,Capcom,7.7,6.7,7.2,N/A,24th Feb 09,N/A,Action
8148,Looney Tunes Racing,PS,Infogrames,N/A,N/A,N/A,N/A,13th Nov 00,N/A,Racing
8149,Feel the Magic XY/XX,DS,Sega,N/A,7.7,N/A,N/A,16th Nov 04,N/A,Puzzle
8150,Final Fantasy X-2: International + Last Mission,PS2,Square Enix,N/A,N/A,N/A,N/A,19th Feb 04,N/A,Role-Playing
8151,One Piece Unlimited World: Red,PS3,Namco Bandai Games,N/A,N/A,N/A,N/A,08th Jul 14,19th Oct 18,Action-Adventure
8152,Ever Oasis,3DS,Nintendo,N/A,8.1,N/A,N/A,23rd Jun 17,14th Jan 18,Role-Playing
8153,Namco Museum Vol.2,PS,Namco,N/A,N/A,N/A,N/A,30th Sep 96,N/A,Misc
8154,Neopets Puzzle Adventure,DS,Capcom,N/A,N/A,N/A,N/A,25th Nov 08,N/A,Puzzle
8155,Worms: WMD,PC,Team17 Digital Ltd,N/A,N/A,N/A,0.29m,23rd Aug 16,12th Aug 18,Strategy
8156,Drayt Empire,PC,Unknown,N/A,N/A,N/A,0.29m,N/A,15th Feb 19,Role-Playing
8157,Rayman 3: Hoodlum Havoc,PS2,Ubisoft,N/A,7.4,N/A,N/A,17th Mar 03,N/A,Platform
8158,Rivals of Aether,PC,Unknown,N/A,N/A,N/A,0.29m,01st Jan 16,N/A,Fighting
8159,Penguin no Mondai: Saikyou Penguin Densetsu! A Penguin's Troubles,DS,Konami,N/A,N/A,N/A,N/A,11th Dec 08,N/A,Adventure
8160,Psi-Ops: The Mindgate Conspiracy,PS2,Midway Games,N/A,N/A,N/A,N/A,14th Jun 04,N/A,Shooter
8161,Tomba! 2: The Evil Swine Return,PS,Sony Computer Entertainment,N/A,N/A,N/A,N/A,01st Dec 99,N/A,Platform
8162,SD Gundam G Generation Portable,PSP,Namco Bandai,N/A,N/A,N/A,0.29m,03rd Aug 06,N/A,Strategy
8163,BeatMania Append 4thMix: The beat goes on,PS,Konami,N/A,N/A,N/A,N/A,09th Sep 99,N/A,Simulation
8164,Rock Revolution,X360,Konami,N/A,3.6,N/A,N/A,15th Oct 08,N/A,Misc
8165,Romance of the Three Kingdoms III: Dragon of Destiny,SNES,KOEI,N/A,N/A,N/A,N/A,01st Jan 93,N/A,Strategy
8166,NASCAR 08,X360,EA Sports,N/A,N/A,N/A,N/A,23rd Jul 07,N/A,Racing
8167,Just Cause 4,XOne,Square Enix,N/A,N/A,N/A,N/A,04th Dec 18,19th Dec 18,Action-Adventure
8168,For The King,PC,Unknown,N/A,N/A,N/A,0.29m,N/A,15th Feb 19,Role-Playing
8169,Dragon Ball Z: Budokai Tenkaichi 2,Wii,Atari,N/A,N/A,N/A,N/A,15th Nov 06,N/A,Fighting
8170,Purr Pals,Wii,Crave Entertainment,N/A,N/A,N/A,N/A,10th Jul 08,N/A,Simulation
8171,Sherlock Holmes: Crimes & Punishments,PS4,Focus Home Interactive,N/A,N/A,N/A,N/A,30th Sep 14,18th Apr 18,Adventure
8172,Power Pro Kun Pocket 11,DS,Konami,N/A,N/A,N/A,N/A,18th Dec 08,N/A,Sports
8173,Sonic Forces,XOne,Sega,N/A,N/A,N/A,N/A,07th Nov 17,11th Feb 18,Platform
8174,Culdcept,3DS,NIS America,N/A,N/A,N/A,N/A,03rd Oct 17,02nd Apr 18,Strategy
8175,Spyro: A Hero's Tail,GC,VU Games,N/A,6.4,N/A,N/A,03rd Nov 04,N/A,Platform
8176,Sesame Street: Elmo's A-to-Zoo Adventure,DS,Warner Bros. Interactive,N/A,N/A,N/A,N/A,20th Oct 10,N/A,Misc
8177,Links 2004,XB,Microsoft Game Studios,N/A,N/A,N/A,N/A,11th Nov 03,N/A,Sports
8178,PGA Tour 97,PS,EA Sports,N/A,N/A,N/A,N/A,30th Sep 96,N/A,Sports
8179,Turbo Pug 3D,PC,Unknown,N/A,N/A,N/A,0.29m,N/A,15th Feb 19,Action
8180,Tony Hawk: Shred,PS3,Activision,N/A,N/A,N/A,N/A,26th Oct 10,N/A,Sports
8181,Earthworm Jim,GBA,Majesco,N/A,7.2,N/A,N/A,10th Jun 01,N/A,Platform
8182,The Golden Compass,PS3,Sega,N/A,4.3,N/A,N/A,04th Dec 07,N/A,Adventure
8183,Bratz: Super Babyz,DS,THQ,N/A,N/A,N/A,N/A,25th Feb 08,N/A,Action
8184,Baby Pals,DS,Crave Entertainment,N/A,N/A,N/A,N/A,19th Nov 07,N/A,Simulation
8185,Monster 4x4: Masters of Metal,PS2,Ubisoft,N/A,N/A,N/A,N/A,25th Nov 03,N/A,Racing
8186,SingStar Country,PS2,Sony Computer Entertainment,N/A,N/A,N/A,N/A,28th Oct 08,N/A,Misc
8187,Jewel Quest Mysteries: Curse of the Emerald Tear,DS,Avanquest,N/A,N/A,N/A,N/A,23rd Apr 10,N/A,Puzzle
8188,VMX Racing,PS,Playmates,N/A,N/A,N/A,N/A,30th Jun 97,N/A,Racing
8189,Hot Shots Golf: World Invitational,PS3,Sony Computer Entertainment,N/A,N/A,N/A,N/A,23rd Jul 13,16th Nov 18,Shooter
8190,Harvest Moon DS Cute (US sales),DS,Natsume,N/A,N/A,N/A,N/A,25th Mar 08,N/A,Simulation
8191,Disney's Extreme Skate Adventure,GBA,Activision,N/A,6.6,N/A,N/A,03rd Sep 03,N/A,Sports
8192,Dragon Ball GT: Transformation,GBA,Atari,N/A,7.7,N/A,N/A,09th Aug 05,N/A,Action
8193,Super Fire ProWrestling X,SNES,Human Entertainment,N/A,N/A,N/A,N/A,22nd Dec 95,N/A,Fighting
8194,Tales of Berseria,PC,Namco Bandai Games,N/A,N/A,N/A,0.28m,01st Jan 18,25th May 18,Role-Playing
8195,Junior Brain Trainer 2,DS,GSP,N/A,N/A,N/A,N/A,01st Feb 11,N/A,Misc
8196,International Superstar Soccer,SNES,Konami,N/A,N/A,N/A,N/A,01st Jun 95,N/A,Sports
8197,NBA 2K12,PSP,2K Sports,N/A,N/A,N/A,N/A,04th Oct 11,N/A,Sports
8198,Tigger's Honey Hunt,PS,NewKidCo,N/A,N/A,N/A,N/A,29th Sep 00,N/A,Platform
8199,The Warriors,XB,Rockstar Games,N/A,N/A,N/A,N/A,17th Oct 05,N/A,Action
8200,Shadow Hearts,PS2,Midway Games,N/A,7.0,N/A,N/A,11th Dec 01,N/A,Role-Playing
8201,Bladestorm: The Hundred Years' War,PS3,KOEI,N/A,N/A,N/A,N/A,06th Nov 07,N/A,Action
8202,Assassin's Creed II: Discovery,DS,Ubisoft,N/A,7.3,N/A,N/A,17th Nov 09,N/A,Platform
8203,Haven: Call of the King,PS2,Midway Games,N/A,N/A,N/A,N/A,17th Nov 02,N/A,Platform
8204,Street Hoops,XB,Activision,N/A,N/A,N/A,N/A,12th Aug 02,N/A,Sports
8205,Disney Channel: All Star Party,Wii,Disney Interactive Studios,N/A,N/A,N/A,N/A,26th Oct 10,N/A,Misc
8206,Yu-Gi-Oh! Double Pack,GBA,Konami,N/A,N/A,N/A,N/A,21st Feb 06,N/A,Role-Playing
8207,Dark Souls II: Scholar of the First Sin,XOne,Namco Bandai Games,N/A,N/A,N/A,N/A,07th Apr 15,09th Mar 18,Role-Playing
8208,X-Men: Reign of Apocalypse,GBA,Activision,N/A,N/A,N/A,N/A,25th Sep 01,N/A,Action
8209,Star Trek Bridge Crew,PS4,Ubisoft,N/A,N/A,N/A,N/A,30th May 17,09th Apr 18,Action
8210,R: Racing Evolution,PS2,Namco,N/A,N/A,N/A,N/A,09th Dec 03,N/A,Racing
8211,Netsu Chu! Pro Yakyuu 2003,PS2,Namco,N/A,N/A,N/A,N/A,03rd Apr 03,N/A,Sports
8212,Next Hatsune Miku: Project Diva,PS3,Sega,N/A,N/A,N/A,N/A,27th Aug 13,19th Oct 18,Music
8213,ATV Quad Power Racing 2,GC,Acclaim Entertainment,N/A,N/A,N/A,N/A,22nd Jan 03,N/A,Racing
8214,Digimon Adventure: Anode Tamer,WS,Bandai,N/A,N/A,N/A,N/A,16th Dec 99,N/A,Role-Playing
8215,DeathSmiles,X360,Aksys Games,N/A,8.0,N/A,N/A,29th Jun 10,N/A,Shooter
8216,Fantastic 4: Flame On,GBA,Activision,N/A,N/A,N/A,N/A,08th Nov 05,N/A,Action
8217,World of Tanks,PC,Wargaming.net,N/A,7.8,N/A,N/A,12th Apr 11,N/A,Shooter
8218,Marvel Nemesis: Rise of the Imperfects,XB,Electronic Arts,N/A,N/A,N/A,N/A,20th Sep 05,N/A,Fighting
8219,All Star Cheer Squad,DS,THQ,N/A,N/A,N/A,N/A,24th Nov 08,N/A,Sports
8220,The King of Fighters '95,SAT,SNK,N/A,N/A,N/A,N/A,01st Jan 96,N/A,Fighting
8221,Pirates of the Caribbean: Dead Man's Chest,PSP,Buena Vista,N/A,4.3,N/A,N/A,27th Jun 06,N/A,Adventure
8222,F/A-18F Super Hornet,GBA,Majesco,N/A,N/A,N/A,N/A,16th Nov 04,N/A,Simulation
8223,Final Fantasy VI Advance,GBA,Nintendo,N/A,9.1,N/A,N/A,05th Feb 07,N/A,Role-Playing
8224,Hatoful Boyfriend,PC,Devolver Digital,N/A,N/A,N/A,0.28m,04th Sep 14,08th Aug 18,Visual Novel
8225,Polaris,2600,Tigervision,N/A,N/A,N/A,N/A,01st Jan 83,N/A,Action
8226,WarioWare Gold,3DS,Nintendo,N/A,8.1,N/A,N/A,03rd Aug 18,18th Nov 18,Misc
8227,Reel Fishing: Angler's Dream,Wii,Natsume,N/A,N/A,N/A,N/A,25th Aug 09,N/A,Sports
8228,Viewtiful Joe,PS2,Capcom,N/A,N/A,N/A,N/A,24th Aug 04,N/A,Action
8229,Triple Play 2000,N64,EA Sports,N/A,N/A,N/A,N/A,22nd Mar 99,N/A,Sports
8230,Yakuza Kenzan!,PS3,Sega,N/A,N/A,N/A,0.28m,07th Mar 08,03rd Jan 18,Adventure
8231,Moshi Monsters: Moshlings Theme Park,3DS,Activision,N/A,N/A,N/A,N/A,30th Oct 12,16th Oct 18,Simulation
