Pos,Game,Console,Publisher,VGChartz Score,Critic Score,User Score,Total Shipped,Release Date,Last Update,Genre
4024,Deadlight,PC,Microsoft Studios,N/A,N/A,N/A,0.80m,25th Oct 12,07th Feb 19,Action-Adventure
4025,Rayman Raving Rabbids 2,DS,Ubisoft,N/A,N/A,N/A,N/A,13th Nov 07,N/A,Misc
4026,Alien,2600,20th Century Fox Video Games,N/A,N/A,N/A,N/A,01st Jan 82,N/A,Action
4027,Dragon's Dogma,X360,Capcom,N/A,N/A,N/A,N/A,22nd May 12,29th Jan 19,Role-Playing
4028,Invizimals,PSP,Sony Computer Entertainment,N/A,6.6,N/A,N/A,12th Oct 10,N/A,Strategy
4029,Guitar Hero: Aerosmith,PS2,Activision,N/A,N/A,N/A,N/A,29th Jun 08,N/A,Misc
4030,Assassin's Creed The Ezio Collection,PS4,Ubisoft,N/A,N/A,N/A,N/A,15th Nov 16,14th Jan 18,Action
4031,Pro Evolution Soccer 2011,PSP,Konami,N/A,N/A,N/A,N/A,02nd Nov 10,N/A,Sports
4032,The Sims 2: Castaway,PSP,Electronic Arts,N/A,N/A,N/A,N/A,22nd Oct 07,N/A,Simulation
4033,Ridge Racer,PS,Namco,N/A,9.0,N/A,N/A,09th Sep 95,N/A,Racing
4034,All Star Cheer Squad,Wii,THQ,N/A,N/A,N/A,N/A,27th Oct 08,N/A,Sports
4035,Dead Island: Riptide,X360,Deep Silver,N/A,5.6,N/A,N/A,23rd Apr 13,15th Mar 18,Misc
4036,Harvest Moon: A Wonderful Life,GC,Natsume,N/A,8.2,N/A,N/A,16th Mar 04,N/A,Role-Playing
4037,Ace Combat Zero: The Belkan War,PS2,Namco,N/A,7.5,N/A,0.79m,25th Apr 06,N/A,Simulation
4038,Darksiders II,X360,THQ,N/A,8.6,N/A,N/A,14th Aug 12,07th Feb 18,Action-Adventure
4039,Motocross Mania,PS,Take-Two Interactive,N/A,N/A,N/A,N/A,09th Jul 01,N/A,Racing
4040,Prototype 2,X360,Activision,N/A,N/A,N/A,N/A,24th Apr 12,N/A,Action
4041,NBA 2K16,PS3,2K Sports,N/A,N/A,N/A,N/A,29th Sep 15,28th Mar 18,Sports
4042,Band Hero    Read the review,X360,Activision,8.3,7.6,N/A,N/A,03rd Nov 09,N/A,Misc
4043,WCW Mayhem,N64,Electronic Arts,N/A,N/A,N/A,N/A,22nd Sep 99,N/A,Fighting
4044,Mega Man 5,NES,Capcom,N/A,N/A,N/A,N/A,01st Dec 92,N/A,Platform
4045,Football Manager 2014,PC,Sega,N/A,8.4,N/A,0.79m,30th Oct 13,21st Mar 18,Sports
4046,Dragon Quest Monsters 2,3DS,Square Enix,N/A,N/A,N/A,N/A,06th Feb 14,07th Jan 18,Role-Playing
4047,Dance Dance Revolution SuperNOVA 2,PS2,Konami,N/A,N/A,N/A,N/A,25th Sep 07,N/A,Simulation
4048,Armored Core 2,PS2,Agetec,N/A,N/A,N/A,N/A,24th Oct 00,N/A,Simulation
4049,The Godfather II    Read the review,X360,Electronic Arts,8.2,6.2,N/A,N/A,07th Apr 09,N/A,Adventure
4050,Nidhogg,PC,Messhof,N/A,N/A,N/A,0.79m,13th Jan 14,09th Sep 18,Action
4051,Major League Baseball Featuring Ken Griffey Jr,N64,Nintendo,N/A,N/A,N/A,N/A,31st May 98,N/A,Sports
4052,Northgard,PC,Unknown,N/A,N/A,N/A,0.79m,N/A,07th Feb 19,Strategy
4053,NCAA Football 08,PS2,Electronic Arts,N/A,N/A,N/A,N/A,17th Jul 07,N/A,Sports
4054,FIFA Soccer 2004,XB,EA Sports,N/A,N/A,N/A,N/A,04th Nov 03,N/A,Sports
4055,Final Fantasy XIV: A Realm Reborn,PS4,Square Enix,N/A,N/A,N/A,N/A,14th Apr 14,23rd Jan 18,MMO
4056,Red Faction: Armageddon,PC,THQ,N/A,7.3,N/A,0.79m,07th Jun 11,N/A,Shooter
4057,MadWorld    Read the review,Wii,Sega,8.7,8.1,8.1,N/A,10th Mar 09,N/A,Action
4058,Tiger Woods PGA Tour 10,PS3,EA Sports,N/A,8.4,N/A,N/A,08th Jun 09,N/A,Sports
4059,Destiny: The Collection,PS4,Activision,N/A,N/A,N/A,N/A,19th Sep 16,14th Sep 18,Shooter
4060,Shadow of the Tomb Raider,XOne,Square Enix,N/A,N/A,N/A,N/A,14th Sep 18,12th Sep 18,Action-Adventure
4061,Too Human    Read the review,X360,Microsoft Game Studios,6.6,6.5,N/A,N/A,19th Aug 08,N/A,Role-Playing
4062,Fight Night Champion,X360,EA Sports,N/A,8.4,N/A,N/A,01st Mar 11,N/A,Fighting
4063,DJ Hero 2,PS3,Activision,N/A,8.4,N/A,N/A,19th Oct 10,N/A,Misc
4064,Yars' Revenge,2600,Atari,N/A,N/A,N/A,N/A,01st May 82,N/A,Shooter
4065,Aliens: Colonial Marines,X360,Sega,N/A,N/A,N/A,N/A,12th Feb 13,30th Jan 19,Shooter
4066,Personal Trainer: Walking,DS,Nintendo,N/A,N/A,N/A,N/A,26th May 09,N/A,Sports
4067,LEGO Jurassic World,XOne,Warner Bros. Interactive Entertainment,N/A,N/A,N/A,N/A,12th Jun 15,06th Apr 18,Action
4068,Secret Agent Barbie: Royal Jewels Mission,GBA,VU Games,N/A,N/A,N/A,N/A,08th Oct 02,N/A,Platform
4069,Star Wars: The Force Unleashed II,Wii,LucasArts,N/A,7.5,N/A,N/A,26th Oct 10,N/A,Action
4070,Doom,PS,GT Interactive,N/A,N/A,N/A,N/A,16th Nov 95,N/A,Shooter
4071,Naruto Shippuden: Ultimate Ninja Storm 2,X360,Namco Bandai,N/A,7.6,N/A,N/A,19th Oct 10,N/A,Fighting
4072,Buzz! The Hollywood Quiz,PS2,Sony Computer Entertainment,N/A,N/A,N/A,N/A,11th Mar 08,N/A,Misc
4073,Tom Clancy's Splinter Cell: Double Agent,X360,Ubisoft,N/A,8.5,8.3,N/A,17th Oct 06,N/A,Action
4074,DJ Hero    Read the review,Wii,Activision,8.0,8.6,N/A,N/A,27th Oct 09,N/A,Misc
4075,Sid Meier's Civilization Revolution    Read the review,PS3,2K Games,8.7,8.4,N/A,N/A,08th Jul 08,N/A,Strategy
4076,New Super Mario Bros. 2,3DS,Unknown,N/A,N/A,N/A,N/A,N/A,13th Mar 18,Platform
4077,Star Wars The Clone Wars: Jedi Alliance,DS,LucasArts,N/A,N/A,N/A,N/A,11th Nov 08,N/A,Action
4078,Marvel vs. Capcom: Clash of Super Heroes,PS,Capcom,N/A,N/A,N/A,N/A,27th Jan 00,N/A,Fighting
4079,Drawn to Life,DS,THQ,N/A,N/A,N/A,N/A,10th Sep 07,N/A,Adventure
4080,Battle Stations,PS,Electronic Arts,N/A,N/A,N/A,N/A,31st Mar 97,N/A,Strategy
4081,Rayman Origins,X360,Ubisoft,N/A,9.0,N/A,N/A,15th Nov 11,N/A,Platform
4082,Goldeneye 007: Reloaded,PS3,Activision,N/A,7.4,N/A,N/A,01st Nov 11,N/A,Shooter
4083,F1 2016,PS4,Codemasters,N/A,N/A,N/A,N/A,01st Jan 17,14th May 18,Racing
4084,Rare Replay    Read the review,XOne,Microsoft Studios,N/A,N/A,N/A,N/A,04th Aug 15,25th Sep 18,Misc
4085,Need for Speed: ProStreet,PSP,Electronic Arts,N/A,5.6,N/A,N/A,18th Feb 08,N/A,Racing
4086,NBA 2K7,PS2,2K Sports,N/A,8.2,N/A,N/A,25th Sep 06,N/A,Sports
4087,Torneko no Daibouken: Fushigi no Dungeon,SNES,ChunSoft,N/A,N/A,N/A,N/A,19th Sep 93,N/A,Role-Playing
4088,Jr. Pac-Man,2600,Atari,N/A,N/A,N/A,N/A,01st Jan 84,N/A,Puzzle
4089,James Bond 007: Nightfire,GC,Electronic Arts,N/A,8.1,N/A,N/A,18th Nov 02,N/A,Shooter
4090,Mass Effect: Andromeda,XOne,Electronic Arts,N/A,N/A,N/A,N/A,21st Mar 17,03rd Jul 18,Role-Playing
4091,Hitman,PS4,Square Enix,N/A,N/A,N/A,N/A,31st Jan 17,01st May 18,Action
4092,Dragon Age: Inquisition,PC,Electronic Arts,N/A,N/A,N/A,N/A,18th Nov 14,05th Jan 19,Role-Playing
4093,NBA ShootOut 98,PS,Sony Computer Entertainment,N/A,N/A,N/A,N/A,28th Feb 98,N/A,Sports
4094,ABBA: You Can Dance,Wii,Ubisoft,N/A,N/A,N/A,N/A,15th Nov 11,N/A,Misc
4095,Prototype 2,PS3,Activision,N/A,N/A,N/A,N/A,24th Apr 12,N/A,Action
4096,Galaxian,2600,Atari,N/A,N/A,N/A,N/A,01st Jan 83,N/A,Shooter
4097,Minecraft: Story Mode,XOne,Mojang,N/A,N/A,N/A,N/A,27th Oct 15,13th Jan 18,Adventure
4098,Puzzler World,DS,Atari,N/A,N/A,N/A,N/A,08th Dec 09,N/A,Puzzle
4099,Lips,X360,Microsoft Game Studios,N/A,7.1,N/A,N/A,18th Nov 08,N/A,Misc
4100,Andretti Racing,PS,EA Sports,N/A,7.3,N/A,N/A,30th Nov 96,N/A,Racing
4101,Caesars Palace 2000: Millennium Gold Edition,PS,Interplay,N/A,N/A,N/A,N/A,29th Jun 00,N/A,Misc
4102,UFC Personal Trainer: The Ultimate Fitness System,X360,THQ,N/A,6.0,N/A,N/A,28th Jun 11,N/A,Sports
4103,Air Raid,2600,Men-A-Vision,N/A,N/A,N/A,N/A,01st Jan 82,N/A,Action
4104,Marvel Nemesis: Rise of the Imperfects,PS2,Electronic Arts,N/A,N/A,N/A,N/A,20th Sep 05,N/A,Fighting
4105,Boxing,2600,Activision,N/A,N/A,N/A,N/A,17th Jun 80,N/A,Fighting
4106,Resident Evil: Operation Raccoon City,X360,Capcom,N/A,N/A,N/A,N/A,20th Mar 12,N/A,Shooter
4107,Need for Speed: Porsche Unleashed,PS,Electronic Arts,N/A,N/A,N/A,N/A,29th Feb 00,N/A,Racing
4108,Ghost Squad,Wii,Sega,N/A,7.0,N/A,N/A,20th Nov 07,N/A,Shooter
4109,Star Wars Battlefront: Elite Squadron,PSP,LucasArts,N/A,6.0,N/A,N/A,03rd Nov 09,N/A,Shooter
4110,James Cameron's Avatar: The Game,X360,Ubisoft,N/A,6.0,N/A,N/A,01st Dec 09,N/A,Action
4111,Ultimate Chicken Horse,PC,Unknown,N/A,N/A,N/A,0.77m,N/A,07th Feb 19,Platform
4112,Crystal Castles,2600,Atari,N/A,N/A,N/A,N/A,01st Jan 84,N/A,Action
4113,Conker's Bad Fur Day,N64,Rare,N/A,9.2,N/A,N/A,04th Mar 01,N/A,Platform
4114,Rayman Advance,GBA,Ubisoft,N/A,8.4,N/A,0.77m,10th Jun 01,N/A,Platform
4115,Fortnite,XOne,Gearbox Software,N/A,N/A,N/A,N/A,21st Jul 17,19th Jun 18,Action
4116,Dragon Warrior I&II,GB,Enix,N/A,N/A,N/A,N/A,27th Sep 00,N/A,Role-Playing
4117,Tales of Phantasia,PS,Namco,N/A,N/A,N/A,0.77m,23rd Dec 98,N/A,Role-Playing
4118,Star Wars Episode II: Attack of the Clones,GBA,THQ,N/A,N/A,N/A,N/A,30th May 02,N/A,Action
4119,The Sims 3,3DS,Electronic Arts,N/A,5.6,N/A,N/A,27th Mar 11,N/A,Simulation
4120,Twisted Metal: Head On,PSP,Sony Computer Entertainment,N/A,7.5,N/A,N/A,24th Mar 05,N/A,Action
4121,Tetris Party Deluxe,DS,Majesco,N/A,N/A,N/A,N/A,01st Jun 10,N/A,Puzzle
4122,Dragon Ball: Raging Blast,PS3,Namco Bandai,N/A,5.6,N/A,N/A,10th Nov 09,N/A,Fighting
4123,Need for Speed: Undercover,PSP,Electronic Arts,N/A,5.4,N/A,N/A,17th Nov 08,N/A,Racing
4124,Valkyria Chronicles,PC,Sega,N/A,N/A,N/A,0.77m,11th Nov 14,N/A,Role-Playing
4125,Conflict: Desert Storm II - Back to Bagdhad,PS2,Gotham Games,N/A,N/A,N/A,N/A,08th Oct 03,N/A,Shooter
4126,Maximo: Ghosts to Glory,PS2,Capcom,N/A,8.7,N/A,N/A,11th Feb 02,N/A,Platform
4127,Battlefield 1    Read the review,PC,Electronic Arts,N/A,9.1,N/A,N/A,21st Oct 16,N/A,Shooter
4128,Fire Emblem: Monshou no Nazo,SNES,Nintendo,N/A,N/A,N/A,0.77m,21st Jan 94,N/A,Strategy
4129,Donkey Kong Country 3,GBA,Nintendo,N/A,7.5,N/A,N/A,07th Nov 05,N/A,Platform
4130,All-Star Baseball 2003,PS2,Acclaim Entertainment,N/A,N/A,N/A,N/A,26th Feb 02,N/A,Sports
4131,Persona 4 Arena,PS3,Atlus,N/A,N/A,N/A,N/A,07th Aug 12,11th Jan 18,Fighting
4132,Pokémon Dash,DS,Nintendo,N/A,5.3,N/A,N/A,14th Mar 05,N/A,Racing
4133,Sonic & SEGA All-Stars Racing with Banjo-Kazooie    Read the review,X360,Sega,8.0,7.7,N/A,N/A,23rd Feb 10,N/A,Racing
4134,My Baby Girl,DS,SouthPeak Interactive,N/A,N/A,N/A,N/A,04th Nov 08,N/A,Simulation
4135,Lego Marvel Super Heroes,WiiU,Warner Bros. Interactive Entertainment,N/A,N/A,N/A,N/A,22nd Oct 13,01st Dec 18,Action
4136,FIFA Soccer 12,Wii,EA Sports,N/A,N/A,N/A,N/A,27th Sep 11,N/A,Sports
4137,Cabela's Deer Hunt: 2004 Season,PS2,Activision,N/A,N/A,N/A,N/A,27th Aug 03,N/A,Sports
4138,Sonic Unleashed,PS2,Sega,N/A,7.0,N/A,N/A,18th Nov 08,N/A,Platform
4139,Formula 1,PS,Sony Computer Entertainment,N/A,N/A,N/A,N/A,30th Sep 96,N/A,Racing
4140,Age of Wonders 3,PC,Triumph Studios,N/A,N/A,N/A,0.76m,31st Mar 14,01st Jan 18,Strategy
4141,Resident Evil: Revelations,PS3,Capcom,N/A,7.6,N/A,N/A,21st May 13,16th Mar 18,Action
4142,VVVVVV,PC,Terry Cavanagh,N/A,7.8,N/A,0.76m,11th Jan 10,N/A,Platform
4143,Pro Evolution Soccer 2015,PS4,Konami Digital Entertainment,N/A,N/A,N/A,N/A,11th Nov 14,14th Apr 18,Sports
4144,Banjo-Kazooie: Nuts & Bolts,X360,Microsoft Game Studios,N/A,8.0,N/A,N/A,12th Nov 08,N/A,Platform
4145,Driv3r,XB,Atari,N/A,N/A,N/A,N/A,21st Jun 04,N/A,Racing
4146,Mercenaries: Playground of Destruction,PS2,LucasArts,N/A,N/A,N/A,N/A,10th Jan 05,N/A,Action
4147,MTV Celebrity Deathmatch,PS2,Gotham Games,N/A,N/A,N/A,N/A,14th Oct 03,N/A,Fighting
4148,Street Fighter Alpha: Warriors' Dreams,PS,Capcom,N/A,N/A,N/A,N/A,21st Dec 95,N/A,Fighting
4149,ISS Pro Evolution,PS,Konami,N/A,N/A,N/A,N/A,06th Jun 00,N/A,Sports
4150,Just Dance 2019,NS,Ubisoft,N/A,N/A,N/A,N/A,23rd Oct 18,28th Sep 18,Music
4151,Band Hero    Read the review,PS3,Activision,8.3,7.6,N/A,N/A,03rd Nov 09,N/A,Misc
4152,Duke Nukem Forever,PS3,2K Games,N/A,4.4,N/A,N/A,14th Jun 11,N/A,Shooter
4153,Tony Hawk's Pro Skater 2,N64,Activision,N/A,8.5,N/A,N/A,21st Aug 01,N/A,Sports
4154,Final Fantasy II,NES,Square,N/A,N/A,N/A,N/A,17th Dec 88,N/A,Role-Playing
4155,Taiko no Tatsujin: Tatakon de Dodon ga Don,PS2,Namco,N/A,N/A,N/A,N/A,24th Oct 02,N/A,Misc
4156,Mega Man Battle Network 6: Cybeast Falzar / Gregar,GBA,Capcom,N/A,N/A,N/A,N/A,13th Jun 06,N/A,Role-Playing
4157,Toy Story 3: The Video Game,X360,Disney Interactive Studios,N/A,7.5,N/A,N/A,15th Jun 10,N/A,Action
4158,Just Dance 2018,NS,Ubisoft,N/A,8.0,N/A,N/A,24th Oct 17,06th Apr 18,Music
4159,Syphon Filter: The Omega Strain,PS2,Sony Computer Entertainment,N/A,N/A,N/A,N/A,04th May 04,N/A,Shooter
4160,FIFA Soccer 11,PS2,EA Sports,N/A,N/A,N/A,N/A,28th Sep 10,N/A,Sports
4161,PokéPark 2: Wonders Beyond,Wii,Nintendo,N/A,6.5,N/A,N/A,27th Feb 12,16th Mar 18,Action-Adventure
4162,Mortal Kombat: Deception,XB,Midway Games,N/A,7.4,N/A,N/A,04th Oct 04,N/A,Fighting
4163,That's So Raven,GBA,Buena Vista,N/A,N/A,N/A,N/A,12th Oct 04,N/A,Adventure
4164,Marvel vs. Capcom 2,PS2,Capcom,N/A,8.2,N/A,N/A,19th Nov 02,N/A,Fighting
4165,Assassin's Creed: Revelations,PC,Ubisoft,N/A,N/A,N/A,N/A,29th Nov 11,N/A,Action
4166,Harry Potter and the Half-Blood Prince,Wii,Electronic Arts,N/A,6.0,3.8,N/A,30th Jun 09,N/A,Action
4167,Lost Planet 2    Read the review,X360,Capcom,7.5,6.5,N/A,N/A,11th May 10,N/A,Shooter
4168,True Crime: New York City,PS2,Activision,N/A,N/A,N/A,N/A,15th Nov 05,N/A,Action
4169,Legends of Wrestling,PS2,Acclaim Entertainment,N/A,N/A,N/A,N/A,03rd Dec 01,N/A,Fighting
4170,The Walking Dead: A Telltale Games Series,X360,Telltale Games,N/A,N/A,N/A,N/A,21st Nov 12,10th May 18,Adventure
4171,Kane & Lynch: Dead Men,X360,Eidos Interactive,N/A,6.8,N/A,N/A,13th Nov 07,N/A,Shooter
4172,Quantum Break,XOne,Microsoft Studios,N/A,N/A,N/A,N/A,05th Apr 16,25th Sep 18,Action
4173,Final Fantasy Legend III,GB,Square,N/A,7.0,N/A,N/A,29th Sep 93,N/A,Role-Playing
4174,They Are Billions,PC,Unknown,N/A,N/A,N/A,0.76m,N/A,07th Feb 19,Strategy
4175,Dark Souls II,X360,Namco Bandai Games,N/A,N/A,N/A,N/A,07th Apr 15,07th Feb 18,Role-Playing
4176,Wall-E,PS2,THQ,N/A,7.5,N/A,N/A,24th Jun 08,N/A,Platform
4177,Ratchet & Clank Collection,PS3,Sony Computer Entertainment,N/A,N/A,N/A,N/A,28th Aug 12,06th Jan 18,Platform
4178,Wolfenstein: The New Order,XOne,Bethesda Softworks,N/A,N/A,N/A,N/A,20th May 14,25th Mar 19,Shooter
4179,LEGO City Undercover,PS4,Warner Bros. Interactive Entertainment,N/A,8.0,N/A,N/A,04th Apr 17,24th May 18,Platform
4180,Genji: Days of the Blade,PS3,Sony Computer Entertainment,N/A,5.0,N/A,N/A,14th Nov 06,N/A,Action
4181,Defy Gravity Extended,PC,Unknown,N/A,N/A,N/A,0.75m,25th Jul 11,N/A,Action
4182,Mega Man X5,PS,Capcom,N/A,N/A,N/A,N/A,01st Feb 01,N/A,Platform
4183,Drawn to Life: The Next Chapter,Wii,THQ,N/A,5.8,N/A,N/A,27th Oct 09,N/A,Puzzle
4184,Pro Evolution Soccer 2018,PS4,Konami Digital Entertainment,N/A,N/A,N/A,N/A,12th Sep 17,24th Apr 18,Sports
4185,Fire Emblem Echoes: Shadows of Valentia,3DS,Nintendo,N/A,8.3,N/A,N/A,19th May 17,31st Dec 17,Role-Playing
4186,We Sing,Wii,Nordic Games,N/A,N/A,N/A,N/A,13th Nov 09,N/A,Misc
4187,LEGO Worlds,PC,Warner Bros. Interactive Entertainment,N/A,N/A,N/A,0.75m,01st Jun 15,N/A,Misc
4188,Rockstar Games presents Table Tennis,X360,Rockstar Games,N/A,8.1,N/A,N/A,22nd May 06,N/A,Sports
4189,Universe Sandbox,PC,Unknown,N/A,N/A,N/A,0.75m,29th Apr 11,N/A,Simulation
4190,WWE SmackDown vs. Raw 2009,PSP,THQ,N/A,7.9,N/A,N/A,09th Nov 08,N/A,Fighting
4191,Disney Infinity 2.0: Marvel Super Heroes,PS4,Disney Interactive Studios,N/A,8.0,N/A,N/A,23rd Sep 14,06th Feb 18,Action-Adventure
4192,Kane & Lynch: Dead Men,PS3,Eidos Interactive,N/A,6.8,N/A,N/A,13th Nov 07,N/A,Shooter
4193,Deer Drive,Wii,Mastiff,N/A,N/A,N/A,N/A,20th Jan 09,N/A,Sports
4194,Pro Evolution Soccer 2017,PS4,Konami Digital Entertainment,N/A,N/A,N/A,N/A,13th Sep 16,14th Apr 18,Sports
4195,Shark Tale,PS2,Activision,N/A,N/A,N/A,N/A,27th Sep 04,N/A,Action
4196,San Francisco Rush: Extreme Racing,N64,Midway Games,N/A,N/A,N/A,N/A,08th Nov 97,N/A,Racing
4197,Super Street Fighter IV,X360,Capcom,N/A,9.2,N/A,0.75m,27th Apr 10,N/A,Fighting
4198,Prince of Persia 2: The Shadow and the Flame,All,Ubisoft,N/A,N/A,N/A,0.75m,01st Jan 93,26th Nov 20,Platform
4199,Broken Sword II: The Smoking Mirror,All,Virgin Interactive,N/A,N/A,N/A,0.75m,17th Oct 97,03rd Mar 21,Adventure
4200,Zone of the Enders,PS2,Konami,N/A,7.5,N/A,N/A,26th Mar 01,N/A,Simulation
4201,Raving Rabbids: Travel in Time,Wii,Ubisoft,N/A,N/A,N/A,N/A,21st Nov 10,N/A,Adventure
4202,Borderlands: The Pre-Sequel,X360,2K Games,N/A,N/A,N/A,N/A,14th Oct 14,N/A,Misc
4203,Rock Band 4,XOne,Harmonix Music Systems,N/A,N/A,N/A,N/A,06th Oct 15,23rd May 18,Music
4204,Street Fighter EX Plus Alpha,PS,Capcom,N/A,N/A,N/A,N/A,30th Sep 97,N/A,Fighting
4205,Coded Arms,PSP,Konami,N/A,6.1,N/A,N/A,06th Jul 05,N/A,Shooter
4206,Need for Speed: Shift,PSP,Electronic Arts,N/A,N/A,N/A,N/A,15th Sep 09,N/A,Racing
4207,FIFA 19,NS,Electronic Arts,N/A,5.9,N/A,N/A,28th Sep 18,12th Sep 18,Sports
4208,Tony Hawk's Underground 2,XB,Activision,N/A,N/A,N/A,N/A,04th Oct 04,N/A,Sports
4209,Madden NFL 06,PSP,EA Sports,N/A,7.9,N/A,N/A,20th Sep 05,N/A,Sports
4210,Skylanders: Trap Team,WiiU,Activision,N/A,N/A,N/A,N/A,05th Oct 14,29th Jan 18,Action-Adventure
4211,Capcom vs. SNK 2: Mark of the Millennium 2001,PS2,Capcom,N/A,7.9,N/A,N/A,06th Nov 01,N/A,Fighting
4212,MVP 06 NCAA Baseball,PS2,EA Sports,N/A,N/A,N/A,N/A,18th Jan 06,N/A,Sports
4213,Just Dance 2015,WiiU,Ubisoft,N/A,N/A,N/A,N/A,21st Oct 14,03rd Apr 18,Music
4214,Tom Clancy's Rainbow Six: Vegas,PSP,Ubisoft,N/A,5.8,N/A,N/A,12th Jun 07,N/A,Shooter
4215,The Lord of the Rings: Conquest,PS3,Electronic Arts,N/A,5.8,N/A,N/A,13th Jan 09,N/A,Action
4216,Spectrobes,DS,Disney Interactive Studios,N/A,6.2,N/A,N/A,06th Mar 07,N/A,Role-Playing
4217,Turok,X360,Touchstone,N/A,6.6,N/A,N/A,05th Feb 08,N/A,Shooter
4218,Jump Ultimate Stars,DS,Nintendo,N/A,N/A,N/A,N/A,23rd Nov 06,N/A,Fighting
4219,Jampack Summer 2001,PS2,Sony Computer Entertainment,N/A,N/A,N/A,N/A,11th Jul 01,N/A,Misc
4220,Mortal Kombat: Unchained,PSP,Midway Games,N/A,7.0,N/A,N/A,15th Nov 06,N/A,Fighting
4221,Burnout,PS2,Acclaim Entertainment,N/A,N/A,N/A,N/A,01st Nov 01,N/A,Racing
4222,Deponia,PC,Daedalic Entertainment,N/A,N/A,N/A,0.74m,27th Jan 12,N/A,Adventure
4223,Ace Combat: Assault Horizon,PS3,Namco Bandai,N/A,7.5,N/A,N/A,11th Oct 11,N/A,Action
4224,The Godfather II    Read the review,PS3,Electronic Arts,8.2,6.4,N/A,N/A,07th Apr 09,N/A,Adventure
4225,Lords of the Fallen,PC,Namco Bandai Games,N/A,N/A,N/A,0.74m,28th Oct 14,10th May 18,Role-Playing
4226,Sniper Elite III,PS4,505 Games,N/A,N/A,N/A,N/A,01st Jul 14,22nd Sep 18,Shooter
4227,Sega Superstars Tennis,DS,Sega,N/A,6.2,N/A,N/A,18th Mar 08,N/A,Sports
4228,Yu-Gi-Oh! Dungeon Dice Monsters,GBA,Konami,N/A,N/A,N/A,N/A,12th Feb 03,N/A,Misc
4229,Red Faction: Guerrilla,PS3,THQ,N/A,8.6,N/A,N/A,02nd Jun 09,N/A,Shooter
4230,The Evil Within,PC,Bethesda Softworks,N/A,5.5,N/A,0.74m,14th Oct 14,13th Mar 18,Misc
4231,Midnight Club 3: DUB Edition,XB,Rockstar Games,N/A,N/A,N/A,N/A,11th Apr 05,N/A,Racing
4232,Super Street Fighter IV: Arcade Edition,PS3,Capcom,N/A,8.1,N/A,0.74m,28th Jun 11,N/A,Fighting
