Pos,Game,Console,Publisher,VGChartz Score,Critic Score,User Score,Total Shipped,Release Date,Last Update,Genre
4001,Final Fantasy Anthology,PS,Square EA,N/A,8.6,N/A,N/A,30th Sep 99,N/A,Role-Playing
4002,DiRT 2    Read the review,X360,Codemasters,8.5,8.8,N/A,N/A,08th Sep 09,N/A,Racing
4003,Star Wars The Clone Wars: Republic Heroes,Wii,LucasArts,N/A,4.8,N/A,N/A,06th Oct 09,N/A,Action
4004,The Sims 2: Pets,PSP,Electronic Arts,N/A,5.8,N/A,N/A,14th Dec 06,N/A,Simulation
4005,Tom Clancy's Ghost Recon Advanced Warfighter,X360,Ubisoft,N/A,9.1,N/A,0.80m,09th Mar 06,N/A,Shooter
4006,Half-Life: Blue Shift,PC,Sierra Entertainment,N/A,6.7,N/A,0.80m,12th Jun 01,N/A,Shooter
4007,Battlefield 2: Special Forces,PC,Electronic Arts,N/A,N/A,N/A,0.80m,21st Nov 05,N/A,Shooter
4008,Zumba Fitness,Wii,Majesco,N/A,N/A,N/A,0.80m,18th Nov 10,N/A,Sports
4009,Yakuza 6: The Song of Life,PS4,Sega,N/A,N/A,N/A,0.80m,17th Apr 18,03rd Jan 18,Adventure
4010,Shin Megami Tensei V    Read the review,NS,Sega,8.0,N/A,N/A,0.80m,11th Nov 21,08th Dec 21,Role-Playing
4011,Imperialism,Series,Strategic Simulations,N/A,N/A,N/A,0.80m,03rd Sep 97,13th Mar 21,Strategy
4012,Pro Evolution Soccer 2010,PSP,Konami,N/A,N/A,N/A,N/A,10th Nov 09,N/A,Sports
4013,Prince of Persia: Warrior Within,XB,Ubisoft,N/A,N/A,N/A,N/A,30th Nov 04,N/A,Adventure
4014,Mario & Sonic at the Sochi 2014 Olympic Winter Games,WiiU,Nintendo,N/A,5.9,N/A,N/A,15th Nov 13,31st Jan 18,Sports
4015,Guitar Hero: Metallica,X360,Activision,N/A,8.5,N/A,N/A,29th Mar 09,N/A,Misc
4016,Hasbro Family Game Night 3,Wii,Electronic Arts,N/A,N/A,N/A,N/A,26th Oct 10,N/A,Misc
4017,The Amazing Spider-Man (2012),PS3,Activision,N/A,7.3,N/A,N/A,26th Jun 12,15th Mar 18,Action-Adventure
4018,Super Robot Taisen α,PS,Banpresto,N/A,N/A,N/A,N/A,25th May 00,N/A,Strategy
4019,WWE 2K15,PS3,2K Sports,N/A,N/A,N/A,N/A,28th Oct 14,06th Jan 18,Sports
4020,Need for Speed: Hot Pursuit 2,GC,Electronic Arts,N/A,7.5,N/A,N/A,01st Oct 02,N/A,Racing
4021,PES 2009: Pro Evolution Soccer,PSP,Konami,N/A,7.3,N/A,N/A,11th Nov 08,N/A,Sports
4022,Farming Simulator 17,PC,Focus Home Interactive,N/A,N/A,N/A,0.80m,25th Oct 16,06th Apr 18,Simulation
4023,Capcom's Soccer Shootout,SNES,Capcom,N/A,N/A,N/A,N/A,01st Jun 94,N/A,Sports
