Pos,Game,Console,Publisher,VGChartz Score,Critic Score,User Score,Total Shipped,Release Date,Last Update,Genre
29,Sonic the Hedgehog,Series,Sega,N/A,N/A,N/A,76.64m,23rd Jun 91,07th Feb 20,Platform
30,Worms,Series,Team17,N/A,N/A,N/A,75.00m,31st Oct 95,26th Jan 21,Strategy
31,Mortal Kombat,Series,Midway,N/A,N/A,N/A,73.00m,08th Oct 92,01st Mar 20,Fighting
32,Borderlands,Series,2K Games,N/A,N/A,N/A,72.00m,20th Oct 09,05th Feb 20,Shooter
33,Just Dance,Series,Ubisoft,N/A,N/A,N/A,70.00m,17th Nov 09,11th Feb 20,Music
34,WWE 2K,Series,THQ,N/A,N/A,N/A,70.00m,02nd Mar 00,02nd Mar 20,Fighting
35,PUBG,Series,PUBG Corporation,N/A,N/A,N/A,70.00m,20th Dec 17,16th Mar 20,Shooter
36,PlayerUnknown's Battlegrounds,All,PUBG Corporation,N/A,N/A,N/A,70.00m,17th Dec 17,24th Oct 20,Shooter
37,Animal Crossing,Series,Nintendo,N/A,N/A,N/A,69.63m,16th Sep 02,20th Feb 20,Simulation
38,Super Smash Bros.,Series,Nintendo,N/A,N/A,N/A,66.99m,26th Apr 99,20th Feb 20,Fighting
39,The Oregon Trail,Series,MECC,N/A,N/A,N/A,65.00m,03rd Dec 71,18th Feb 20,Education
40,Counter-Strike,Series,Valve,N/A,N/A,N/A,65.00m,09th Nov 00,19th Feb 20,Shooter
41,Donkey Kong,Series,Nintendo,N/A,N/A,N/A,65.00m,31st Jul 81,21st Feb 20,Platform
42,Dragon Ball,Series,Bandai,N/A,N/A,N/A,64.54m,27th Sep 86,05th Mar 20,Role-Playing
43,Red Dead,Series,Rockstar Games,N/A,N/A,N/A,62.00m,04th May 04,26th Feb 20,Action-Adventure
44,Civilization,Series,Microprose,N/A,N/A,N/A,59.00m,01st Sep 91,05th Feb 20,Strategy
45,The Elder Scrolls,Series,Bethesda Softworks,N/A,N/A,N/A,58.62m,25th Mar 94,04th Mar 20,Role-Playing
46,Mario Party,Series,Nintendo,N/A,N/A,N/A,58.34m,01st Feb 99,18th Feb 20,Party
47,Metal Gear,Series,Konami,N/A,N/A,N/A,57.70m,13th Jul 87,26th Feb 20,Action-Adventure
48,Tekken,Series,Namco,N/A,N/A,N/A,53.51m,11th Dec 94,21st Feb 20,Fighting
49,Far Cry,Series,Ubisoft,N/A,N/A,N/A,52.50m,23rd Mar 04,11th Feb 20,Shooter
50,God of War,Series,Sony Computer Entertainment,N/A,N/A,N/A,51.00m,22nd Mar 05,04th Mar 20,Action
51,The Witcher,Series,Atari,N/A,N/A,N/A,50.00m,30th Oct 07,13th Feb 20,Role-Playing
52,Diablo,Series,Blizzard Entertainment,N/A,N/A,N/A,50.00m,03rd Jan 97,18th Feb 20,Role-Playing
53,Bejeweled,Series,PopCap Games,N/A,N/A,N/A,50.00m,30th May 01,25th Feb 20,Puzzle
54,Crash Bandicoot,Series,Sony Computer Entertainment,N/A,N/A,N/A,50.00m,09th Sep 96,02nd Mar 20,Platform
55,Lego Star Wars,Series,Eidos Interactive,N/A,N/A,N/A,50.00m,29th Mar 05,02nd Mar 20,Action-Adventure
56,The Walking Dead: Telltale Games Series,Series,Telltale Games,N/A,N/A,N/A,50.00m,24th Apr 12,12th Jan 21,Adventure
57,Warriors,Series,KOEI,N/A,N/A,N/A,47.37m,30th Jun 97,24th Mar 20,Action
58,Street Fighter,Series,Capcom,N/A,N/A,N/A,47.00m,30th Aug 87,03rd Feb 20,Fighting
59,Fallout,Series,Interplay Productions,N/A,N/A,N/A,46.43m,10th Oct 97,07th Mar 20,Role-Playing
60,Uncharted,Series,Sony Computer Entertainment,N/A,N/A,N/A,44.25m,20th Nov 07,15th Feb 20,Shooter
61,Wii Fit,Series,Nintendo,N/A,N/A,N/A,43.80m,21st May 08,19th Feb 20,Misc
62,Star Wars: Battlefront,Series,LucasArts,N/A,N/A,N/A,43.00m,21st Sep 04,24th Feb 20,Shooter
63,Harry Potter,Series,Electronic Arts,N/A,N/A,N/A,42.70m,15th Nov 01,06th Mar 20,Action-Adventure
64,World of WarCraft,Series,Blizzard Entertainment,N/A,N/A,N/A,40.60m,23rd Nov 04,20th Mar 20,MMO
65,Super Mario Bros.,NES,Nintendo,N/A,10.0,8.2,40.24m,18th Oct 85,N/A,Platform
66,Kirby,Series,Nintendo,N/A,N/A,N/A,40.13m,01st Aug 92,22nd Feb 20,Platform
67,Counter-Strike: Global Offensive,PC,Valve,N/A,N/A,N/A,40.00m,21st Aug 12,26th Mar 19,Shooter
68,Guitar Hero,Series,Activision,N/A,N/A,N/A,40.00m,08th Nov 05,05th Mar 20,Music
69,Medal of Honor,Series,Electronic Arts,N/A,N/A,N/A,39.00m,31st Oct 99,24th Feb 20,Shooter
70,Red Dead Redemption 2,All,Rockstar Games,N/A,N/A,N/A,39.00m,26th Oct 18,08th Oct 20,Action-Adventure
71,Mario Kart 8 Deluxe,NS,Nintendo,N/A,9.3,N/A,38.74m,28th Apr 17,19th Nov 18,Racing
72,BioShock,Series,2K Games,N/A,N/A,N/A,38.00m,21st Aug 07,08th Feb 20,Shooter
73,Total War,Series,Electronic Arts,N/A,N/A,N/A,37.80m,13th Jun 00,07th Feb 20,Strategy
74,Mario Kart Wii    Read the review,Wii,Nintendo,8.7,8.2,9.1,37.38m,27th Apr 08,11th Apr 18,Racing
75,Mega Man,Series,Capcom,N/A,N/A,N/A,37.00m,17th Dec 87,03rd Feb 20,Platform
76,PLAYERUNKNOWN'S BATTLEGROUNDS,PC,PUBG Corporation,N/A,N/A,N/A,36.60m,21st Dec 17,29th Apr 19,Shooter
77,Tom Clancy's Rainbow Six,Series,Red Storm Entertainment,N/A,N/A,N/A,36.00m,21st Aug 98,10th Feb 20,Shooter
78,NBA Live,Series,EA Sports,N/A,N/A,N/A,35.00m,01st Oct 94,24th Feb 20,Sports
79,Terraria,Series,505 Games,N/A,N/A,N/A,35.00m,16th May 11,07th Mar 20,Action-Adventure
80,Tom Clancy's Ghost Recon,Series,Ubisoft,N/A,N/A,N/A,35.00m,13th Nov 01,12th Mar 20,Shooter
81,Terraria,All,Re-Logic,N/A,N/A,N/A,35.00m,16th May 11,10th Oct 20,Platform
82,Animal Crossing: New Horizons    Read the review,NS,Nintendo,8.0,N/A,N/A,34.85m,20th Mar 20,11th Apr 20,Simulation
83,Spider-Man,Series,Parker Brothers,N/A,N/A,N/A,34.50m,01st Jan 82,12th Mar 20,Action-Adventure
84,The Witcher 3: Wild Hunt,All,Warner Bros. Interactive Entertainment,N/A,N/A,N/A,34.40m,18th May 15,29th Oct 20,Role-Playing
85,Brain Age,Series,Nintendo,N/A,N/A,N/A,33.89m,16th Apr 06,20th Feb 20,Puzzle
86,Football Manager,Series,Sega,N/A,N/A,N/A,33.33m,05th Nov 04,07th Feb 20,Simulation
87,Minecraft,PC,Mojang,N/A,10.0,N/A,33.15m,10th May 10,05th Aug 18,Misc
88,Wii Sports Resort    Read the review,Wii,Nintendo,8.8,8.0,8.8,33.14m,26th Jul 09,N/A,Sports
89,Half-life,Series,Sierra Studios,N/A,N/A,N/A,33.10m,19th Nov 98,19th Feb 20,Shooter
90,Kingdom Hearts,Series,Square,N/A,N/A,N/A,32.00m,17th Sep 02,27th Feb 20,Role-Playing
91,Saints Row,Series,THQ,N/A,N/A,N/A,32.00m,29th Aug 06,10th Mar 20,Sandbox
92,Souls,Series,Atlus,N/A,N/A,N/A,31.74m,06th Oct 09,17th Feb 20,Role-Playing
93,Pokémon Red / Green / Blue Version,GB,Nintendo,N/A,9.4,N/A,31.38m,30th Sep 98,N/A,Role-Playing
94,Tony Hawk's,Series,Activision,N/A,N/A,N/A,31.12m,29th Sep 99,09th Mar 20,Sports
95,Tom Clancy's Splinter Cell,Series,Ubisoft,N/A,N/A,N/A,31.00m,17th Nov 02,08th Feb 20,Action-Adventure
96,Age of Empires,Series,Microsoft,N/A,N/A,N/A,30.82m,15th Oct 97,12th Mar 20,Strategy
97,New Super Mario Bros.,DS,Nintendo,N/A,9.1,8.1,30.80m,15th May 06,N/A,Platform
98,New Super Mario Bros. Wii    Read the review,Wii,Nintendo,9.1,8.6,9.2,30.32m,15th Nov 09,N/A,Platform
99,Tetris,GB,Nintendo,N/A,N/A,N/A,30.26m,31st Jul 89,N/A,Puzzle
100,Command & Conquer,Series,Electronic Arts,N/A,N/A,N/A,30.00m,26th Sep 95,23rd Feb 20,Strategy
101,James Bond,Series,Parker Bros.,N/A,N/A,N/A,30.00m,01st Jan 83,08th Mar 20,Action-Adventure
102,The Elder Scrolls V: Skyrim,All,Bethesda Softworks,N/A,N/A,N/A,30.00m,10th Nov 11,27th Oct 20,Role-Playing
103,Diablo III,All,Blizzard Entertainment,N/A,N/A,N/A,30.00m,15th May 15,29th Oct 20,Role-Playing
104,Call of Duty: Modern Warfare,All,Activision,N/A,N/A,N/A,30.00m,25th Oct 19,29th Nov 20,Shooter
105,Wii Play,Series,Nintendo,N/A,N/A,N/A,29.66m,12th Feb 07,20th Feb 20,Party
106,Nintendogs,Series,Nintendo,N/A,N/A,N/A,28.60m,22nd Aug 05,20th Feb 20,Simulation
107,Duck Hunt,NES,Nintendo,N/A,N/A,N/A,28.31m,15th Oct 85,N/A,Shooter
108,Wii Play    Read the review,Wii,Nintendo,5.3,5.9,4.5,28.02m,12th Feb 07,N/A,Misc
109,Farming Simulator,Series,Astragon,N/A,N/A,N/A,28.00m,14th Apr 08,03rd Mar 20,Simulation
110,Grand Theft Auto: San Andreas,All,Rockstar Games,N/A,N/A,N/A,27.50m,26th Oct 04,13th Oct 20,Action-Adventure
111,Ratchet & Clank,Series,Sony Computer Entertainment,N/A,N/A,N/A,27.10m,04th Nov 02,10th Mar 20,Shooter
112,Portal,Series,Valve,N/A,N/A,N/A,27.03m,10th Oct 07,19th Feb 20,Puzzle
113,FIFA 18,All,Electronic Arts,N/A,N/A,N/A,26.40m,26th Sep 17,15th Oct 20,Sports
114,Yoshi,Series,Nintendo,N/A,N/A,N/A,26.11m,01st Jun 92,21st Feb 20,Platform
115,Rayman,Series,Ubisoft,N/A,N/A,N/A,26.00m,19th Sep 95,10th Feb 20,Platform
116,Super Smash Bros. Ultimate    Read the review,NS,Nintendo,9.0,9.4,9.7,25.71m,07th Dec 18,18th Oct 18,Fighting
117,Mario & Sonic at the Olympic Games,Series,Sega,N/A,N/A,N/A,25.67m,06th Nov 07,11th Mar 20,Sports
118,Tales of,Series,Namco,N/A,N/A,N/A,25.50m,30th Sep 98,06th Feb 20,Role-Playing
119,Devil May Cry,Series,Capcom,N/A,N/A,N/A,25.00m,16th Oct 01,03rd Feb 20,Action
120,Puyo Puyo,Series,THQ,N/A,N/A,N/A,25.00m,11th Feb 02,07th Feb 20,Puzzle
121,Tiger Woods PGA Tour,Series,EA Sports,N/A,N/A,N/A,25.00m,31st Aug 98,24th Feb 20,Sports
122,Grand Theft Auto IV,All,Rockstar Games,N/A,N/A,N/A,25.00m,02nd Dec 08,13th Oct 20,Action-Adventure
123,Call of Duty: Black Ops,All,Activision,N/A,N/A,N/A,25.00m,09th Nov 10,14th Oct 20,Shooter
124,Borderlands 2,All,2K Games,N/A,N/A,N/A,25.00m,18th Sep 12,27th Oct 20,Shooter
125,Human: Fall Flat,All,Curve Digital,N/A,N/A,N/A,25.00m,22nd Jul 16,11th Feb 21,Platform
126,Batman: Arkham,Series,Warner Bros. Interactive Entertainment,N/A,N/A,N/A,24.81m,25th Aug 09,12th Mar 20,Action-Adventure
127,The Legend of Zelda: Breath of the Wild,NS,Nintendo,N/A,9.9,10.0,24.13m,03rd Mar 17,19th Nov 18,Action-Adventure
128,Kinect Adventures!    Read the review,X360,Microsoft Game Studios,6.2,6.7,N/A,24.00m,04th Nov 10,29th Sep 18,Party
129,Petz,Series,PF.Magic,N/A,N/A,N/A,24.00m,01st Jan 95,10th Feb 20,Simulation
130,The Last of Us,Series,Sony Computer Entertainment,N/A,N/A,N/A,24.00m,14th Jun 13,02nd Mar 20,Action-Adventure
131,Nintendogs,DS,Nintendo,N/A,8.4,N/A,23.96m,23rd Aug 05,N/A,Simulation
132,Mario Kart DS,DS,Nintendo,N/A,9.1,9.4,23.60m,14th Nov 05,N/A,Racing
133,Jikkyo Powerful Pro Yakyu,Series,Konami,N/A,N/A,N/A,23.60m,11th Mar 94,26th Feb 20,Sports
134,Pokémon Gold / Silver Version,GB,Nintendo,N/A,9.2,N/A,23.10m,14th Oct 00,N/A,Role-Playing
135,Gears of War,Series,Microsoft Game Studios,N/A,N/A,N/A,23.00m,07th Nov 06,11th Mar 20,Shooter
136,Wii Fit    Read the review,Wii,Nintendo,8.0,7.9,N/A,22.67m,21st May 08,N/A,Sports
137,Pokémon Sword / Shield    Read the review,NS,Nintendo,7.0,N/A,N/A,22.64m,15th Nov 19,21st Nov 19,Role-Playing
138,Call of Duty: Modern Warfare 2,All,Activision,N/A,N/A,N/A,22.00m,10th Nov 09,14th Oct 20,Shooter
139,Super Mario Odyssey    Read the review,NS,Nintendo,N/A,9.9,N/A,21.95m,27th Oct 17,19th Nov 18,Platform
140,Yu-Gi-Oh!,Series,Konami,N/A,N/A,N/A,21.80m,20th Mar 02,12th Jan 21,Strategy
141,Castlevania,Series,Konami,N/A,N/A,N/A,21.63m,26th Sep 86,03rd Mar 20,Action-Adventure
142,Wii Fit Plus,Wii,Nintendo,N/A,8.0,N/A,21.13m,04th Oct 09,N/A,Sports
143,Imagine,Series,Ubisoft,N/A,N/A,N/A,21.00m,01st Oct 07,10th Feb 20,Simulation
144,Dynasty Warriors,Series,KOEI,N/A,N/A,N/A,21.00m,30th Jun 97,24th Mar 20,Action
145,Naruto: Ultimate Ninja,Series,Bandai Namco Entertainment,N/A,N/A,N/A,20.80m,26th Jun 06,05th Feb 20,Fighting
146,Super Mario World,SNES,Nintendo,N/A,8.5,N/A,20.61m,13th Aug 91,10th Aug 18,Platform
147,Grand Theft Auto V,PS3,Rockstar Games,N/A,9.4,N/A,N/A,17th Sep 13,N/A,Action
148,Marvel's Spider-Man    Read the review,PS4,Sony Interactive Entertainment,8.0,9.1,N/A,20.00m,07th Sep 18,26th Sep 18,Action-Adventure
149,Prince of Persia,Series,Broderbund,N/A,N/A,N/A,20.00m,03rd Aug 89,09th Feb 20,Action-Adventure
150,Rayman Raving Rabbids,Series,Ubisoft,N/A,N/A,N/A,20.00m,19th Nov 06,10th Feb 20,Action-Adventure
151,Sniper Elite,Series,Namco,N/A,N/A,N/A,20.00m,18th Oct 05,13th Feb 20,Shooter
152,SimCity,Series,Maxis,N/A,N/A,N/A,20.00m,02nd Feb 89,17th Feb 20,Simulation
153,SingStar,Series,Sony Computer Entertainment Europe,N/A,N/A,N/A,20.00m,21st May 04,18th Feb 20,Music
154,Frogger,Series,Konami,N/A,N/A,N/A,20.00m,23rd Oct 81,26th Feb 20,Action
155,Spyro,Series,Sony Computer Entertainment,N/A,N/A,N/A,20.00m,10th Sep 98,06th Mar 20,Platform
156,SpongeBob SquarePants,Series,THQ,N/A,N/A,N/A,20.00m,15th Mar 01,07th Mar 20,Action-Adventure
157,Gundam,Series,Bandai,N/A,N/A,N/A,20.00m,02nd May 97,08th Mar 20,Action-Adventure
158,Lemmings,Series,Psygnosis,N/A,N/A,N/A,20.00m,14th Feb 91,14th Mar 20,Puzzle
159,Watch Dogs,Series,Ubisoft,N/A,N/A,N/A,20.00m,27th May 14,20th Mar 20,Action-Adventure
160,Tom Clancy's The Division,Series,Ubisoft,N/A,N/A,N/A,20.00m,08th Mar 16,14th May 20,Shooter
161,Monster Hunter: World,All,Capcom,N/A,N/A,N/A,20.00m,26th Jan 18,13th Oct 20,Role-Playing
162,FIFA 19,All,EA Sports,N/A,N/A,N/A,20.00m,28th Sep 18,15th Oct 20,Sports
163,Fallout 4,All,Bethesda Softworks,N/A,N/A,N/A,20.00m,10th Nov 15,30th Oct 20,Role-Playing
164,Simple,Series,Agetec,N/A,N/A,N/A,20.00m,30th Nov 02,12th Jan 21,Misc
165,God of War (2018)    Read the review,PS4,Sony Interactive Entertainment,9.0,9.7,10.0,19.50m,20th Apr 18,03rd Dec 18,Action
166,Grand Theft Auto V,PS4,Rockstar Games,N/A,9.7,N/A,N/A,18th Nov 14,03rd Jan 18,Action
167,Luigi's Mansion,Series,Nintendo,N/A,N/A,N/A,19.25m,18th Nov 01,20th Feb 20,Action-Adventure
168,Super Robot Wars,Series,Bandai,N/A,N/A,N/A,19.24m,20th Apr 91,19th Feb 20,Role-Playing
169,StarCraft,Series,Blizzard Entertainment,N/A,N/A,N/A,19.10m,31st Mar 98,18th Feb 20,Strategy
170,Teenage Mutant Ninja Turtles,Series,Konami,N/A,N/A,N/A,19.10m,12th May 89,16th Mar 20,Action-Adventure
171,Brain Age: Train Your Brain in Minutes a Day,DS,Nintendo,N/A,8.1,N/A,19.01m,17th Apr 06,N/A,Misc
172,Driver,Series,GT Interactive,N/A,N/A,N/A,19.00m,30th Jun 99,09th Feb 20,Racing
173,WarCraft,Series,Blizzard Entertainment,N/A,N/A,N/A,19.00m,23rd Nov 94,21st Mar 20,Strategy
174,Call of Duty: Ghosts,All,Activision,N/A,N/A,N/A,19.00m,05th Nov 13,14th Oct 20,Shooter
175,Mario Kart 7,3DS,Nintendo,N/A,8.2,N/A,18.95m,04th Dec 11,N/A,Racing
176,Naruto: Ultimate Ninja Storm,Series,Namco Bandai Games,N/A,N/A,N/A,18.56m,04th Nov 08,17th Oct 20,Fighting
177,Midnight Club,Series,Rockstar Games,N/A,N/A,N/A,18.50m,26th Oct 00,15th Feb 20,Racing
178,Super Mario Land,GB,Nintendo,N/A,N/A,N/A,18.14m,01st Aug 89,N/A,Platform
179,Pokémon Diamond / Pearl Version,DS,Nintendo,N/A,8.6,N/A,17.67m,28th Apr 07,N/A,Role-Playing
180,Splatoon,Series,Nintendo,N/A,N/A,N/A,17.63m,29th May 15,16th Feb 20,Shooter
181,Grand Theft Auto: Vice City,All,Rockstar Games,N/A,N/A,N/A,17.50m,29th Oct 02,14th Oct 20,Action-Adventure
182,Grand Theft Auto: San Andreas,PS2,Rockstar Games,N/A,9.5,N/A,17.30m,26th Oct 04,N/A,Action
183,Super Mario Bros. 3,NES,Nintendo,N/A,N/A,N/A,17.28m,12th Feb 90,09th Aug 18,Platform
184,RollerCoaster Tycoon,Series,Hasbro Interactive,N/A,N/A,N/A,17.23m,22nd Mar 99,11th Mar 20,Simulation
185,Terraria,PC,Re-Logic,N/A,8.8,N/A,17.20m,16th May 11,19th Mar 18,Platform
186,The Lord of the Rings,Series,Melbourne House,N/A,N/A,N/A,17.17m,01st Nov 82,09th Mar 20,Action-Adventure
187,Professor Layton,Series,Nintendo,N/A,N/A,N/A,17.00m,10th Feb 08,04th Feb 20,Adventure
188,Zuma,Series,PopCap Games,N/A,N/A,N/A,17.00m,12th Dec 03,16th Feb 20,Puzzle
189,Yakuza,Series,Sega,N/A,N/A,N/A,17.00m,05th Sep 06,02nd Mar 20,Action-Adventure
190,Ace Combat,Series,Namco,N/A,N/A,N/A,17.00m,09th Sep 95,11th Mar 20,Simulation
191,SoulCalibur,Series,Namco,N/A,N/A,N/A,17.00m,20th Dec 96,12th Mar 20,Fighting
192,Zuma,All,PopCap Games,N/A,N/A,N/A,17.00m,12th Dec 03,30th Nov 20,Puzzle
193,Garry's Mod,PC,Valve,N/A,N/A,N/A,16.90m,29th Nov 06,25th Dec 19,Misc
194,Hitman,Series,Eidos Interactive,N/A,N/A,N/A,16.59m,21st Nov 00,28th Feb 20,Action-Adventure
195,Pokémon X/Y,3DS,Nintendo,N/A,8.9,9.7,16.58m,12th Oct 13,06th Jan 18,Role-Playing
196,Pokemon Mystery Dungeon,Series,Nintendo,N/A,N/A,N/A,16.50m,18th Sep 06,03rd Mar 20,Role-Playing
197,Super Mario Party    Read the review,NS,Nintendo,7.0,7.3,N/A,16.48m,05th Oct 18,19th Nov 18,Party
198,Pokémon Sun/Moon,3DS,Nintendo,N/A,9.0,N/A,16.27m,18th Nov 16,03rd Aug 18,Role-Playing
199,Uncharted 4: A Thief's End,PS4,Sony Interactive Entertainment,N/A,9.2,N/A,16.25m,10th May 16,23rd Sep 18,Action
200,Pokémon Ruby / Sapphire Version,GBA,Nintendo,N/A,8.8,N/A,16.22m,17th Mar 03,N/A,Role-Playing
201,Grand Theft Auto: Vice City,PS2,Rockstar Games,N/A,9.6,N/A,N/A,28th Oct 02,N/A,Action
202,Mass Effect,Series,Microsoft Game Studios,N/A,N/A,N/A,16.00m,20th Nov 07,24th Feb 20,Role-Playing
203,FIFA 11,All,EA Sports,N/A,N/A,N/A,16.00m,28th Sep 10,15th Oct 20,Sports
204,The Sims,All,Electronic Arts,N/A,N/A,N/A,16.00m,04th Feb 00,18th Oct 20,Simulation
205,Need for Speed: Most Wanted,All,Electronic Arts,N/A,N/A,N/A,16.00m,15th Nov 05,20th Oct 20,Racing
206,Final Fantasy X/X-2,All,Square,N/A,N/A,N/A,15.97m,17th Dec 01,19th Oct 20,Role-Playing
207,The Witcher 3: Wild Hunt,PC,Warner Bros. Interactive Entertainment,N/A,N/A,N/A,15.90m,19th May 15,04th May 18,Role-Playing
208,Grand Theft Auto V,X360,Rockstar Games,N/A,N/A,N/A,N/A,17th Sep 13,N/A,Action
209,Pokémon Black / White Version,DS,Nintendo,N/A,8.6,9.0,15.64m,06th Mar 11,N/A,Role-Playing
210,Mario Tennis,Series,Nintendo,N/A,N/A,N/A,15.24m,14th Aug 95,21st Feb 20,Sports
211,Call of Duty: Black Ops 3,PS4,Activision,N/A,N/A,N/A,N/A,06th Nov 15,14th Jan 18,Shooter
212,Counter-Strike: Source,PC,VU Games,N/A,9.3,N/A,15.00m,16th Nov 04,N/A,Shooter
213,Sonic the Hedgehog,GEN,Sega,N/A,N/A,N/A,15.00m,23rd Jun 91,N/A,Platform
214,Persona,Series,Atlus,N/A,N/A,N/A,15.00m,01st Nov 96,03rd Feb 20,Role-Playing
215,Just Cause,Series,Eidos Interactive,N/A,N/A,N/A,15.00m,27th Sep 06,11th Feb 20,Shooter
216,Stardew Valley,Series,Chucklefish,N/A,N/A,N/A,15.00m,26th Feb 16,12th Feb 20,Simulation
217,Famista,Series,Namco,N/A,N/A,N/A,15.00m,10th Dec 86,22nd Feb 20,Sports
218,Burnout,Series,Acclaim Entertainment,N/A,N/A,N/A,15.00m,01st Nov 01,23rd Feb 20,Racing
219,Gex,Series,BMG Interactive Entertainment,N/A,N/A,N/A,15.00m,01st Apr 95,01st Mar 20,Platform
220,Backyard Sports,Series,Humongous Entertainment,N/A,N/A,N/A,15.00m,01st Jan 97,03rd Mar 20,Sports
221,Momotaro Dentetsu,Series,Hudson Soft,N/A,N/A,N/A,15.00m,02nd Dec 88,09th Mar 20,Board Game
222,Barbie,Series,Hi Tech Expressions,N/A,N/A,N/A,15.00m,01st Dec 91,14th Mar 20,Action-Adventure
223,Need for Speed: Underground,All,Electronic Arts,N/A,N/A,N/A,15.00m,17th Nov 03,20th Oct 20,Racing
224,Battlefield 3,All,Electronic Arts,N/A,N/A,N/A,15.00m,25th Oct 11,23rd Oct 20,Shooter
225,The Elder Scrolls Online,All,Bethesda Softworks,N/A,N/A,N/A,15.00m,04th Apr 14,27th Oct 20,Role-Playing
226,Red Dead Redemption,All,Rockstar Games,N/A,N/A,N/A,15.00m,18th May 10,30th Oct 20,Action-Adventure
227,Stardew Valley,All,ConcernedApe,N/A,N/A,N/A,15.00m,26th Feb 16,28th Dec 20,Simulation
228,Gran Turismo 3: A-Spec,PS2,Sony Computer Entertainment,N/A,9.3,N/A,14.89m,09th Jul 01,N/A,Racing
229,Brain Age 2: More Training in Minutes a Day,DS,Nintendo,N/A,8.0,N/A,14.88m,20th Aug 07,N/A,Misc
230,Call of Duty: Modern Warfare 3,X360,Activision,N/A,8.7,N/A,N/A,08th Nov 11,N/A,Shooter
231,Call of Duty: Black Ops,X360,Activision,N/A,8.8,N/A,N/A,09th Nov 10,N/A,Shooter
232,Pokémon Yellow: Special Pikachu Edition,GB,Nintendo,N/A,8.7,N/A,14.64m,19th Oct 99,N/A,Role-Playing
233,Halo 3    Read the review,X360,Microsoft Game Studios,8.8,9.6,9.5,14.50m,25th Sep 07,11th Oct 18,Shooter
234,Grand Theft Auto III,All,Rockstar Games,N/A,N/A,N/A,14.50m,22nd Oct 01,14th Oct 20,Action-Adventure
