Pos,Game,Console,Publisher,VGChartz Score,Critic Score,User Score,Total Shipped,Release Date,Last Update,Genre
1,Tetris,Series,Nintendo,N/A,N/A,N/A,496.40m,31st Jul 89,27th Feb 20,Puzzle
2,Call of Duty,Series,Activision,N/A,N/A,N/A,400.00m,29th Oct 03,03rd Feb 20,Shooter
3,Super Mario,Series,Nintendo,N/A,N/A,N/A,387.74m,20th Jul 83,20th Feb 20,Platform
4,Pokemon,Series,Nintendo,N/A,N/A,N/A,386.00m,28th Sep 98,03rd Feb 20,Role-Playing
5,Grand Theft Auto,Series,Rockstar Games,N/A,N/A,N/A,355.00m,27th Mar 98,03rd Feb 20,Action-Adventure
6,FIFA,Series,EA Sports,N/A,N/A,N/A,325.00m,15th Dec 93,03rd Feb 20,Sports
7,Minecraft,Series,Mojang,N/A,N/A,N/A,238.00m,18th Nov 11,08th Feb 20,Sandbox
8,Minecraft,All,Mojang,N/A,N/A,N/A,238.00m,18th Nov 11,08th Oct 20,Action-Adventure
9,The Sims,Series,Electronic Arts,N/A,N/A,N/A,200.00m,04th Feb 00,18th Feb 20,Simulation
10,Lego,Series,Mindscape,N/A,N/A,N/A,200.00m,26th Sep 97,01st Mar 20,Action-Adventure
11,Final Fantasy,Series,Square,N/A,N/A,N/A,164.00m,18th Dec 87,28th Feb 20,Role-Playing
12,Mario Kart,Series,Nintendo,N/A,N/A,N/A,159.82m,01st Sep 92,20th Feb 20,Racing
13,Assassin's Creed,Series,Ubisoft,N/A,N/A,N/A,155.00m,13th Nov 07,11th Feb 20,Action-Adventure
14,Grand Theft Auto V,All,Rockstar Games,N/A,N/A,N/A,155.00m,17th Sep 13,08th Oct 20,Action-Adventure
15,Need for Speed,Series,Electronic Arts,N/A,N/A,N/A,150.00m,31st Aug 94,24th Feb 20,Racing
16,Madden NFL,Series,Electronic Arts,N/A,N/A,N/A,130.00m,01st Jun 88,25th Feb 20,Sports
17,Resident Evil,Series,Capcom,N/A,N/A,N/A,123.00m,30th Mar 96,03rd Feb 20,Action-Adventure
18,The Legend of Zelda,Series,Nintendo,N/A,N/A,N/A,119.06m,14th Jul 87,03rd Feb 20,Action-Adventure
19,NBA 2K,Series,Sega,N/A,N/A,N/A,118.00m,10th Nov 99,16th Feb 20,Sports
20,Wii Sports,Series,Nintendo,N/A,N/A,N/A,116.04m,19th Nov 06,20th Feb 20,Sports
21,Pro Evolution Soccer,Series,Konami,N/A,N/A,N/A,112.40m,22nd Dec 95,26th Feb 20,Sports
22,Tomb Raider,Series,Eidos Interactive,N/A,N/A,N/A,85.00m,14th Nov 96,27th Feb 20,Action-Adventure
23,Dragon Quest,Series,Square,N/A,N/A,N/A,83.00m,27th May 86,27th Feb 20,Role-Playing
24,Wii Sports,Wii,Nintendo,N/A,7.7,N/A,82.90m,19th Nov 06,N/A,Sports
25,Halo,Series,Microsoft Game Studios,N/A,N/A,N/A,81.00m,15th Nov 01,03rd Feb 20,Shooter
26,Gran Turismo,Series,Sony Computer Entertainment,N/A,N/A,N/A,80.40m,12th May 98,05th Feb 20,Racing
27,Battlefield,Series,Electronic Arts,N/A,N/A,N/A,78.90m,10th Sep 02,23rd Feb 20,Shooter
28,Monster Hunter,Series,Capcom,N/A,N/A,N/A,78.10m,21st Sep 04,03rd Feb 20,Role-Playing
